model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,5278,1.857513041159109e-07,0,0,0.7973,0.0,0.14766402542591095,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,5278,1.857513041159109e-07,1,0,0.8012,0.0,0.14766402542591095,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,5278,1.857513041159109e-07,2,0,0.8087,0.0,0.14766402542591095,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,5278,1.857513041159109e-07,3,1,0.8065,0.0,0.14766402542591095,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,255,1.6085640197616158e-07,0,0,0.7975,0.0,0.12700830399990082,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,255,1.6085640197616158e-07,1,1,0.81,0.0,0.12700830399990082,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,255,1.6085640197616158e-07,2,0,0.8069,0.0,0.12700830399990082,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,255,1.6085640197616158e-07,3,0,0.7919,0.0,0.12700830399990082,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2668,1.4971698192312033e-07,0,0,0.8151,0.0,0.11248008161783218,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2668,1.4971698192312033e-07,1,0,0.8079,0.0,0.11248008161783218,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2668,1.4971698192312033e-07,2,0,0.8137,0.0,0.11248008161783218,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2668,1.4971698192312033e-07,3,0,0.8016,0.0,0.11248008161783218,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2681,1.470346404630618e-07,0,1,0.7931,0.0,0.13878165185451508,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2681,1.470346404630618e-07,1,1,0.7931,0.0,0.13878165185451508,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2681,1.470346404630618e-07,2,1,0.7995,0.0,0.13878165185451508,0.031372517347335815
ConvNetBN,fc,random,frog-airplane,42,0.04,2000,0.0313725,2681,1.470346404630618e-07,3,0,0.8125,0.0,0.13878165185451508,0.031372517347335815
