model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,843,7.394403951366257e-07,0,0,0.8123,0.0,0.3416695296764374,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,843,7.394403951366257e-07,1,0,0.8059,0.0,0.3416695296764374,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,843,7.394403951366257e-07,2,0,0.8034,0.0,0.3416695296764374,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,843,7.394403951366257e-07,3,0,0.8066,0.0,0.3416695296764374,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,843,7.394403951366257e-07,4,0,0.7973,0.0,0.3416695296764374,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,1257,2.8486810688121977e-09,0,0,0.7978,0.0,0.2911991775035858,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,1257,2.8486810688121977e-09,1,0,0.8093,0.0,0.2911991775035858,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,1257,2.8486810688121977e-09,2,0,0.8111,0.0,0.2911991775035858,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,1257,2.8486810688121977e-09,3,0,0.8002,0.0,0.2911991775035858,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,1257,2.8486810688121977e-09,4,0,0.7995,0.0,0.2911991775035858,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8252,2.359715153943398e-06,0,0,0.8001,0.0,0.3094083368778229,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8252,2.359715153943398e-06,1,0,0.8175,0.0,0.3094083368778229,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8252,2.359715153943398e-06,2,0,0.7987,0.0,0.3094083368778229,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8252,2.359715153943398e-06,3,0,0.7991,0.0,0.3094083368778229,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8252,2.359715153943398e-06,4,0,0.7905,0.0,0.3094083368778229,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8730,4.875602144238655e-10,0,0,0.8091,0.0,0.2785007953643799,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8730,4.875602144238655e-10,1,0,0.8108,0.0,0.2785007953643799,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8730,4.875602144238655e-10,2,0,0.8158,0.0,0.2785007953643799,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8730,4.875602144238655e-10,3,0,0.8085,0.0,0.2785007953643799,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8730,4.875602144238655e-10,4,0,0.8019,0.0,0.2785007953643799,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8055,9.737742168169916e-09,0,0,0.8063,0.0,0.30900678038597107,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8055,9.737742168169916e-09,1,1,0.8076,0.0,0.30900678038597107,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8055,9.737742168169916e-09,2,0,0.8135,0.0,0.30900678038597107,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8055,9.737742168169916e-09,3,0,0.7972,0.0,0.30900678038597107,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8055,9.737742168169916e-09,4,0,0.8159,0.0,0.30900678038597107,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5859,2.8852892342001724e-07,0,0,0.7972,0.0,0.2903927266597748,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5859,2.8852892342001724e-07,1,1,0.8041,0.0,0.2903927266597748,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5859,2.8852892342001724e-07,2,0,0.8072,0.0,0.2903927266597748,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5859,2.8852892342001724e-07,3,0,0.7997,0.0,0.2903927266597748,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5859,2.8852892342001724e-07,4,0,0.8058,0.0,0.2903927266597748,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8954,1.0512613002333637e-08,0,0,0.7974,0.0,0.21294991672039032,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8954,1.0512613002333637e-08,1,0,0.8045,0.0,0.21294991672039032,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8954,1.0512613002333637e-08,2,0,0.8054,0.0,0.21294991672039032,0.031372517347335815
