model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,0,0,0.8092,0.0,0.3189544975757599,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,1,0,0.8129,0.0,0.3189544975757599,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,2,0,0.7968,0.0,0.3189544975757599,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,3,1,0.8094,0.0,0.3189544975757599,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,0,0,0.8082,0.0,0.30212637782096863,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,1,0,0.8067,0.0,0.30212637782096863,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,2,1,0.806,0.0,0.30212637782096863,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,3,0,0.8057,0.0,0.30212637782096863,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,0,0,0.7996,0.0,0.26533302664756775,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,1,0,0.8119,0.0,0.26533302664756775,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,2,0,0.8103,0.0,0.26533302664756775,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,3,1,0.8014,0.0,0.26533302664756775,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,0,0,0.8078,0.0,0.36518797278404236,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,1,0,0.8105,0.0,0.36518797278404236,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,2,0,0.7379,0.0,0.36518797278404236,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,3,0,0.8059,0.0,0.36518797278404236,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,0,0,0.8082,0.0,0.39862775802612305,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,1,0,0.805,0.0,0.39862775802612305,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,2,0,0.805,0.0,0.39862775802612305,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,3,0,0.8058,0.0,0.39862775802612305,0.031372517347335815
