model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,0,1,0.8041,0.0,0.2610865533351898,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,1,1,0.8089,0.0,0.2610865533351898,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,2,1,0.806,0.0,0.2610865533351898,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,3,1,0.8112,0.0,0.2610865533351898,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,4,1,0.8053,0.0,0.2610865533351898,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,5,0,0.7886,0.0,0.2610865533351898,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,0,1,0.7949,0.0,0.21204686164855957,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,1,0,0.7994,0.0,0.21204686164855957,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,2,1,0.8088,0.0,0.21204686164855957,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,3,1,0.804,0.0,0.21204686164855957,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,4,1,0.8013,0.0,0.21204686164855957,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,5,1,0.8032,0.0,0.21204686164855957,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,0,1,0.8013,0.0,0.2221449911594391,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,1,1,0.8156,0.0,0.2221449911594391,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,2,1,0.8017,0.0,0.2221449911594391,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,3,1,0.7925,0.0,0.2221449911594391,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,4,1,0.7954,0.0,0.2221449911594391,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,5,1,0.8108,0.0,0.2221449911594391,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,0,0,0.8077,0.0,nan,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,1,0,0.8107,0.0,nan,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,2,0,0.8141,0.0,nan,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,3,0,0.8058,0.0,nan,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,4,1,0.7971,0.0,nan,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,5,0,0.8109,0.0,nan,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,0,0,0.8049,0.0,0.24319028854370117,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,1,1,0.8029,0.0,0.24319028854370117,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,2,1,0.8083,0.0,0.24319028854370117,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,3,1,0.7954,0.0,0.24319028854370117,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,4,0,0.8129,0.0,0.24319028854370117,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,5,1,0.7975,0.0,0.24319028854370117,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,0,1,0.8042,0.0,0.24151165783405304,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,1,1,0.8062,0.0,0.24151165783405304,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,2,1,0.8052,0.0,0.24151165783405304,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,3,1,0.8063,0.0,0.24151165783405304,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,4,0,0.807,0.0,0.24151165783405304,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,5,0,0.7936,0.0,0.24151165783405304,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,0,1,0.8034,0.0,0.22306287288665771,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,1,1,0.8069,0.0,0.22306287288665771,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,2,1,0.8059,0.0,0.22306287288665771,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,3,1,0.7962,0.0,0.22306287288665771,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,4,1,0.81,0.0,0.22306287288665771,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,5,1,0.794,0.0,0.22306287288665771,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,0,0,0.8105,0.0,0.2689031660556793,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,1,1,0.8055,0.0,0.2689031660556793,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,2,1,0.7958,0.0,0.2689031660556793,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,3,1,0.8072,0.0,0.2689031660556793,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,4,1,0.8097,0.0,0.2689031660556793,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,5,0,0.8058,0.0,0.2689031660556793,0.031372517347335815
