model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,0,0,0.8099,0.0,0.2616010904312134,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,1,0,0.8043,0.0,0.2616010904312134,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,2,1,0.8135,0.0,0.2616010904312134,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,3,0,0.8118,0.0,0.2616010904312134,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,4,0,0.8027,0.0,0.2616010904312134,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,5,0,0.7909,0.0,0.2616010904312134,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,0,1,0.7983,0.0,0.21278594434261322,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,1,1,0.8055,0.0,0.21278594434261322,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,2,1,0.8107,0.0,0.21278594434261322,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,3,1,0.8018,0.0,0.21278594434261322,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,4,1,0.795,0.0,0.21278594434261322,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,5,0,0.7948,0.0,0.21278594434261322,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,0,1,0.7993,0.0,0.21845650672912598,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,1,1,0.8186,0.0,0.21845650672912598,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,2,1,0.8034,0.0,0.21845650672912598,0.031372517347335815
