model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,843,6.044654776715674e-10,0,1,0.8083,0.0,0.2516494691371918,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,843,6.044654776715674e-10,1,1,0.7996,0.0,0.2516494691371918,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,843,6.044654776715674e-10,2,1,0.799,0.0,0.2516494691371918,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,843,6.044654776715674e-10,3,1,0.8084,0.0,0.2516494691371918,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,843,6.044654776715674e-10,4,1,0.7915,0.0,0.2516494691371918,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,843,6.044654776715674e-10,5,1,0.7883,0.0,0.2516494691371918,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,1257,0.007107404991984367,0,1,0.7987,0.0,0.20712275803089142,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,1257,0.007107404991984367,1,1,0.8096,0.0,0.20712275803089142,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,1257,0.007107404991984367,2,1,0.811,0.0,0.20712275803089142,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,1257,0.007107404991984367,3,1,0.799,0.0,0.20712275803089142,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,1257,0.007107404991984367,4,1,0.8036,0.0,0.20712275803089142,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,1257,0.007107404991984367,5,1,0.7991,0.0,0.20712275803089142,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8252,1.8345489571913731e-09,0,1,0.8003,0.0,0.21118198335170746,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8252,1.8345489571913731e-09,1,1,0.812,0.0,0.21118198335170746,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8252,1.8345489571913731e-09,2,1,0.8055,0.0,0.21118198335170746,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8252,1.8345489571913731e-09,3,1,0.7972,0.0,0.21118198335170746,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8252,1.8345489571913731e-09,4,1,0.7994,0.0,0.21118198335170746,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8252,1.8345489571913731e-09,5,1,0.8089,0.0,0.21118198335170746,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8730,2.894914030715512e-10,0,1,0.8055,0.0,0.2104511260986328,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8730,2.894914030715512e-10,1,1,0.812,0.0,0.2104511260986328,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8730,2.894914030715512e-10,2,1,0.8092,0.0,0.2104511260986328,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8730,2.894914030715512e-10,3,1,0.7968,0.0,0.2104511260986328,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8730,2.894914030715512e-10,4,1,0.7972,0.0,0.2104511260986328,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8730,2.894914030715512e-10,5,1,0.8055,0.0,0.2104511260986328,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8055,2.939038457050458e-10,0,1,0.8075,0.0,0.24073496460914612,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8055,2.939038457050458e-10,1,1,0.7986,0.0,0.24073496460914612,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8055,2.939038457050458e-10,2,1,0.8129,0.0,0.24073496460914612,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8055,2.939038457050458e-10,3,1,0.7925,0.0,0.24073496460914612,0.031372517347335815
ConvNetBN,gradmatch,ours,dog-bird,42,0.04,2000,0.0313725,8055,2.939038457050458e-10,4,1,0.8115,0.0,0.24073496460914612,0.031372517347335815
