model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,496,7.816089442336249e-10,0,0,0.7925,0.0,0.2624959647655487,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,496,7.816089442336249e-10,1,0,0.8068,0.0,0.2624959647655487,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,496,7.816089442336249e-10,2,0,0.805,0.0,0.2624959647655487,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,496,7.816089442336249e-10,3,0,0.8068,0.0,0.2624959647655487,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,496,7.816089442336249e-10,4,0,0.8069,0.0,0.2624959647655487,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,496,7.816089442336249e-10,5,0,0.8014,0.0,0.2624959647655487,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2087,4.3331695565029804e-08,0,0,0.8068,0.0,0.26366114616394043,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2087,4.3331695565029804e-08,1,0,0.7954,0.0,0.26366114616394043,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2087,4.3331695565029804e-08,2,0,0.807,0.0,0.26366114616394043,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2087,4.3331695565029804e-08,3,0,0.7968,0.0,0.26366114616394043,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2087,4.3331695565029804e-08,4,0,0.7898,0.0,0.26366114616394043,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2087,4.3331695565029804e-08,5,0,0.7988,0.0,0.26366114616394043,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,8941,2.385547304584179e-06,0,0,0.807,0.0,0.33561885356903076,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,8941,2.385547304584179e-06,1,0,0.754,0.0,0.33561885356903076,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,8941,2.385547304584179e-06,2,0,0.8087,0.0,0.33561885356903076,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,8941,2.385547304584179e-06,3,0,0.807,0.0,0.33561885356903076,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,8941,2.385547304584179e-06,4,0,0.7999,0.0,0.33561885356903076,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,8941,2.385547304584179e-06,5,0,0.7962,0.0,0.33561885356903076,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,9820,1.4393169989190824e-10,0,0,0.7881,0.0,0.2927987575531006,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,9820,1.4393169989190824e-10,1,0,0.7996,0.0,0.2927987575531006,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,9820,1.4393169989190824e-10,2,0,0.8004,0.0,0.2927987575531006,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,9820,1.4393169989190824e-10,3,0,0.8068,0.0,0.2927987575531006,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,9820,1.4393169989190824e-10,4,0,0.8086,0.0,0.2927987575531006,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,9820,1.4393169989190824e-10,5,0,0.78,0.0,0.2927987575531006,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,3825,1.7894963288966892e-10,0,0,0.8108,0.0,0.5132543444633484,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,3825,1.7894963288966892e-10,1,0,0.8085,0.0,0.5132543444633484,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,3825,1.7894963288966892e-10,2,0,0.8098,0.0,0.5132543444633484,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,3825,1.7894963288966892e-10,3,0,0.8085,0.0,0.5132543444633484,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,3825,1.7894963288966892e-10,4,0,0.8095,0.0,0.5132543444633484,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,3825,1.7894963288966892e-10,5,0,0.8057,0.0,0.5132543444633484,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,1796,9.95516025170673e-09,0,0,0.801,0.0,0.28475260734558105,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,1796,9.95516025170673e-09,1,0,0.8117,0.0,0.28475260734558105,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,1796,9.95516025170673e-09,2,0,0.8092,0.0,0.28475260734558105,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,1796,9.95516025170673e-09,3,0,0.8014,0.0,0.28475260734558105,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,1796,9.95516025170673e-09,4,0,0.8044,0.0,0.28475260734558105,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,1796,9.95516025170673e-09,5,0,0.8059,0.0,0.28475260734558105,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2548,1.6435035377071472e-07,0,1,0.7996,0.0,0.26452895998954773,0.031372517347335815
