model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,496,2.1156045665327028e-11,0,0,0.7913,0.0,0.30064597725868225,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,496,2.1156045665327028e-11,1,0,0.7965,0.0,0.30064597725868225,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,496,2.1156045665327028e-11,2,0,0.8009,0.0,0.30064597725868225,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,496,2.1156045665327028e-11,3,0,0.8012,0.0,0.30064597725868225,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,496,2.1156045665327028e-11,4,0,0.8035,0.0,0.30064597725868225,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2087,2.6816294962372922e-08,0,0,0.8106,0.0,0.2776959538459778,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2087,2.6816294962372922e-08,1,0,0.7957,0.0,0.2776959538459778,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2087,2.6816294962372922e-08,2,0,0.7982,0.0,0.2776959538459778,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2087,2.6816294962372922e-08,3,0,0.8067,0.0,0.2776959538459778,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2087,2.6816294962372922e-08,4,0,0.7953,0.0,0.2776959538459778,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,8941,2.8260762974241516e-06,0,1,0.8051,0.0,0.35105061531066895,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,8941,2.8260762974241516e-06,1,0,0.7554,0.0,0.35105061531066895,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,8941,2.8260762974241516e-06,2,0,0.8077,0.0,0.35105061531066895,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,8941,2.8260762974241516e-06,3,0,0.8083,0.0,0.35105061531066895,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,8941,2.8260762974241516e-06,4,0,0.8078,0.0,0.35105061531066895,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,9820,1.7271553631736936e-10,0,0,0.7899,0.0,0.3036019504070282,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,9820,1.7271553631736936e-10,1,0,0.8008,0.0,0.3036019504070282,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,9820,1.7271553631736936e-10,2,0,0.7992,0.0,0.3036019504070282,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,9820,1.7271553631736936e-10,3,0,0.8021,0.0,0.3036019504070282,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,9820,1.7271553631736936e-10,4,0,0.818,0.0,0.3036019504070282,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,3825,2.1223281465587718e-10,0,0,0.8079,0.0,0.5261456966400146,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,3825,2.1223281465587718e-10,1,0,0.8076,0.0,0.5261456966400146,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,3825,2.1223281465587718e-10,2,0,0.8077,0.0,0.5261456966400146,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,3825,2.1223281465587718e-10,3,0,0.8113,0.0,0.5261456966400146,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,3825,2.1223281465587718e-10,4,0,0.8053,0.0,0.5261456966400146,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,1796,1.1946176492472205e-08,0,0,0.7939,0.0,0.3117406964302063,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,1796,1.1946176492472205e-08,1,1,0.802,0.0,0.3117406964302063,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,1796,1.1946176492472205e-08,2,0,0.802,0.0,0.3117406964302063,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,1796,1.1946176492472205e-08,3,1,0.7979,0.0,0.3117406964302063,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,1796,1.1946176492472205e-08,4,1,0.81,0.0,0.3117406964302063,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2548,1.9660788552755548e-07,0,1,0.7974,0.0,0.26790881156921387,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2548,1.9660788552755548e-07,1,0,0.7892,0.0,0.26790881156921387,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2548,1.9660788552755548e-07,2,1,0.8018,0.0,0.26790881156921387,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2548,1.9660788552755548e-07,3,1,0.8112,0.0,0.26790881156921387,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,2548,1.9660788552755548e-07,4,0,0.8058,0.0,0.26790881156921387,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,6437,3.7091490989737963e-10,0,0,0.8016,0.0,0.3191523551940918,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,6437,3.7091490989737963e-10,1,0,0.7952,0.0,0.3191523551940918,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,6437,3.7091490989737963e-10,2,0,0.8147,0.0,0.3191523551940918,0.031372517347335815
ConvNetBN,gradmatch,ours,frog-airplane,42,0.01,500,0.0313725,6437,3.7091490989737963e-10,3,0,0.8169,0.0,0.3191523551940918,0.031372517347335815
