model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,0,0,0.8052,0.0,0.329315721988678,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,1,0,0.8102,0.0,0.329315721988678,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,2,0,0.7973,0.0,0.329315721988678,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,3,0,0.809,0.0,0.329315721988678,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,0,0,0.8091,0.0,0.3555755317211151,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,1,0,0.8039,0.0,0.3555755317211151,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,2,0,0.8076,0.0,0.3555755317211151,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,3,0,0.8104,0.0,0.3555755317211151,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,0,0,0.7985,0.0,0.2869274616241455,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,1,0,0.8109,0.0,0.2869274616241455,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,2,0,0.809,0.0,0.2869274616241455,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,3,0,0.803,0.0,0.2869274616241455,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,0,0,0.811,0.0,0.46187591552734375,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,1,0,0.8092,0.0,0.46187591552734375,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,2,0,0.7708,0.0,0.46187591552734375,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,3,0,0.815,0.0,0.46187591552734375,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,0,0,0.8108,0.0,0.45350655913352966,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,1,0,0.8059,0.0,0.45350655913352966,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,2,0,0.8004,0.0,0.45350655913352966,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,3,0,0.8046,0.0,0.45350655913352966,0.031372517347335815
