model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,0,0,0.8091,0.0,0.33042144775390625,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,1,0,0.8144,0.0,0.33042144775390625,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,2,0,0.7931,0.0,0.33042144775390625,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,821,3.019660255176859e-08,3,0,0.8049,0.0,0.33042144775390625,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,0,0,0.8099,0.0,0.35519281029701233,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,1,0,0.8036,0.0,0.35519281029701233,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,2,0,0.8093,0.0,0.35519281029701233,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,843,1.4659415174811397e-12,3,0,0.8094,0.0,0.35519281029701233,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,0,0,0.7944,0.0,0.28609761595726013,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,1,0,0.8039,0.0,0.28609761595726013,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,2,0,0.8085,0.0,0.28609761595726013,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1257,8.736330235625811e-12,3,0,0.8093,0.0,0.28609761595726013,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,0,0,0.8081,0.0,0.46060046553611755,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,1,0,0.8125,0.0,0.46060046553611755,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,2,0,0.7655,0.0,0.46060046553611755,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1547,4.099828920800519e-09,3,0,0.8053,0.0,0.46060046553611755,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,0,0,0.8165,0.0,0.44967684149742126,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,1,0,0.8036,0.0,0.44967684149742126,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,2,0,0.7992,0.0,0.44967684149742126,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,4427,3.771356057308273e-12,3,0,0.8022,0.0,0.44967684149742126,0.031372517347335815
