model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,0,1,0.7994,0.0,0.3303047716617584,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,1,0,0.8007,0.0,0.3303047716617584,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,2,0,0.8094,0.0,0.3303047716617584,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,3,0,0.8046,0.0,0.3303047716617584,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,4,0,0.8144,0.0,0.3303047716617584,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,0,0,0.8011,0.0,0.33241209387779236,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,1,1,0.817,0.0,0.33241209387779236,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,2,1,0.791,0.0,0.33241209387779236,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,3,0,0.7954,0.0,0.33241209387779236,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,4,0,0.7986,0.0,0.33241209387779236,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,0,0,0.8001,0.0,0.2583214342594147,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,1,0,0.8104,0.0,0.2583214342594147,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,2,0,0.8052,0.0,0.2583214342594147,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,3,0,0.7945,0.0,0.2583214342594147,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,4,0,0.7954,0.0,0.2583214342594147,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,0,0,0.8125,0.0,0.5192104578018188,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,1,0,0.8058,0.0,0.5192104578018188,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,2,0,0.8102,0.0,0.5192104578018188,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,3,0,0.7999,0.0,0.5192104578018188,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,4,0,0.8102,0.0,0.5192104578018188,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,0,0,0.7987,0.0,0.34582969546318054,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,1,0,0.7994,0.0,0.34582969546318054,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,2,0,0.8016,0.0,0.34582969546318054,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,3,0,0.8032,0.0,0.34582969546318054,0.031372517347335815
ConvNetBN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,4,0,0.8091,0.0,0.34582969546318054,0.031372517347335815
