model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,0,1,0.7972,0.0,0.30740800499916077,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,1,0,0.8031,0.0,0.30740800499916077,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,2,0,0.8118,0.0,0.30740800499916077,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,3,0,0.8071,0.0,0.30740800499916077,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3741,1.4595719903809368e-06,4,0,0.8156,0.0,0.30740800499916077,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,0,0,0.8025,0.0,0.316768616437912,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,1,1,0.8131,0.0,0.316768616437912,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,2,0,0.8028,0.0,0.316768616437912,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,3,0,0.792,0.0,0.316768616437912,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,6857,0.017041103914380074,4,1,0.806,0.0,0.316768616437912,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,0,1,0.8034,0.0,0.2394864559173584,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,1,1,0.8156,0.0,0.2394864559173584,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,2,1,0.8037,0.0,0.2394864559173584,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,3,1,0.7957,0.0,0.2394864559173584,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,2.1669634975296503e-09,4,1,0.7886,0.0,0.2394864559173584,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,0,0,0.8086,0.0,0.44855475425720215,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,1,0,0.8043,0.0,0.44855475425720215,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,2,0,0.807,0.0,0.44855475425720215,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,3,0,0.8027,0.0,0.44855475425720215,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1126,1.7626258230762915e-09,4,0,0.8042,0.0,0.44855475425720215,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,0,1,0.8011,0.0,0.3040134906768799,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,1,1,0.7995,0.0,0.3040134906768799,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,2,1,0.8081,0.0,0.3040134906768799,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,3,1,0.8032,0.0,0.3040134906768799,0.031372517347335815
ConvNetBN,sapa,ours,dog-bird,42,0.005,250,0.0313725,3522,1.0458599319917994e-07,4,1,0.8165,0.0,0.3040134906768799,0.031372517347335815
