model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,496,2.1156045665327028e-11,0,0,0.7983,0.0,0.2809915244579315,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,496,2.1156045665327028e-11,1,0,0.8063,0.0,0.2809915244579315,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,496,2.1156045665327028e-11,2,0,0.8099,0.0,0.2809915244579315,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,496,2.1156045665327028e-11,3,0,0.8103,0.0,0.2809915244579315,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,496,2.1156045665327028e-11,4,0,0.806,0.0,0.2809915244579315,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,2087,2.6816294962372922e-08,0,0,0.8067,0.0,0.27573370933532715,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,2087,2.6816294962372922e-08,1,0,0.798,0.0,0.27573370933532715,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,2087,2.6816294962372922e-08,2,0,0.802,0.0,0.27573370933532715,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,2087,2.6816294962372922e-08,3,0,0.8004,0.0,0.27573370933532715,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,2087,2.6816294962372922e-08,4,0,0.7943,0.0,0.27573370933532715,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8941,2.8260762974241516e-06,0,0,0.8032,0.0,0.34647423028945923,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8941,2.8260762974241516e-06,1,0,0.7195,0.0,0.34647423028945923,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8941,2.8260762974241516e-06,2,0,0.7998,0.0,0.34647423028945923,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8941,2.8260762974241516e-06,3,0,0.8034,0.0,0.34647423028945923,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8941,2.8260762974241516e-06,4,0,0.8007,0.0,0.34647423028945923,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9820,1.7271553631736936e-10,0,0,0.7969,0.0,0.32113248109817505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9820,1.7271553631736936e-10,1,0,0.7992,0.0,0.32113248109817505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9820,1.7271553631736936e-10,2,0,0.8058,0.0,0.32113248109817505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9820,1.7271553631736936e-10,3,0,0.809,0.0,0.32113248109817505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9820,1.7271553631736936e-10,4,0,0.8167,0.0,0.32113248109817505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3825,2.1223281465587718e-10,0,0,0.8056,0.0,0.5287822484970093,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3825,2.1223281465587718e-10,1,0,0.8091,0.0,0.5287822484970093,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3825,2.1223281465587718e-10,2,0,0.8098,0.0,0.5287822484970093,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3825,2.1223281465587718e-10,3,0,0.8066,0.0,0.5287822484970093,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3825,2.1223281465587718e-10,4,0,0.8076,0.0,0.5287822484970093,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,1796,1.1946176492472205e-08,0,0,0.8021,0.0,0.30024585127830505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,1796,1.1946176492472205e-08,1,0,0.7997,0.0,0.30024585127830505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,1796,1.1946176492472205e-08,2,0,0.803,0.0,0.30024585127830505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,1796,1.1946176492472205e-08,3,0,0.8023,0.0,0.30024585127830505,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,1796,1.1946176492472205e-08,4,0,0.8063,0.0,0.30024585127830505,0.031372517347335815
