model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,496,2.8141624772680396e-13,0,0,0.8007,0.0,0.2756567895412445,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,496,2.8141624772680396e-13,1,0,0.8031,0.0,0.2756567895412445,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,496,2.8141624772680396e-13,2,0,0.8037,0.0,0.2756567895412445,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,496,2.8141624772680396e-13,3,0,0.8098,0.0,0.2756567895412445,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,496,2.8141624772680396e-13,4,1,0.8097,0.0,0.2756567895412445,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,2087,8.326430100957793e-10,0,0,0.8059,0.0,0.2744534909725189,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,2087,8.326430100957793e-10,1,0,0.7993,0.0,0.2744534909725189,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,2087,8.326430100957793e-10,2,0,0.8013,0.0,0.2744534909725189,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,2087,8.326430100957793e-10,3,0,0.7949,0.0,0.2744534909725189,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,2087,8.326430100957793e-10,4,0,0.7865,0.0,0.2744534909725189,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,8941,1.2514983716016559e-08,0,0,0.7996,0.0,0.34350281953811646,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,8941,1.2514983716016559e-08,1,0,0.7326,0.0,0.34350281953811646,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,8941,1.2514983716016559e-08,2,0,0.7979,0.0,0.34350281953811646,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,8941,1.2514983716016559e-08,3,0,0.8095,0.0,0.34350281953811646,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.01,500,0.0313725,8941,1.2514983716016559e-08,4,0,0.8016,0.0,0.34350281953811646,0.031372517347335815
