model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,496,2.1156045665327028e-11,0,0,0.7943,0.0,0.2451690435409546,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,496,2.1156045665327028e-11,1,0,0.8032,0.0,0.2451690435409546,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,496,2.1156045665327028e-11,2,1,0.8005,0.0,0.2451690435409546,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,496,2.1156045665327028e-11,3,1,0.8128,0.0,0.2451690435409546,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,496,2.1156045665327028e-11,4,0,0.8042,0.0,0.2451690435409546,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2087,2.6816294962372922e-08,0,1,0.805,0.0,0.25882071256637573,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2087,2.6816294962372922e-08,1,1,0.796,0.0,0.25882071256637573,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2087,2.6816294962372922e-08,2,1,0.7966,0.0,0.25882071256637573,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2087,2.6816294962372922e-08,3,0,0.8061,0.0,0.25882071256637573,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2087,2.6816294962372922e-08,4,0,0.7985,0.0,0.25882071256637573,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,8941,2.8260762974241516e-06,0,1,0.7967,0.0,0.3203122317790985,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,8941,2.8260762974241516e-06,1,0,0.7631,0.0,0.3203122317790985,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,8941,2.8260762974241516e-06,2,1,0.8035,0.0,0.3203122317790985,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,8941,2.8260762974241516e-06,3,1,0.8121,0.0,0.3203122317790985,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,8941,2.8260762974241516e-06,4,0,0.8003,0.0,0.3203122317790985,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9820,1.7271553631736936e-10,0,0,0.7921,0.0,0.273043155670166,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9820,1.7271553631736936e-10,1,1,0.8021,0.0,0.273043155670166,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9820,1.7271553631736936e-10,2,1,0.7991,0.0,0.273043155670166,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9820,1.7271553631736936e-10,3,1,0.806,0.0,0.273043155670166,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9820,1.7271553631736936e-10,4,1,0.8117,0.0,0.273043155670166,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3825,2.1223281465587718e-10,0,0,0.8056,0.0,0.4932490289211273,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3825,2.1223281465587718e-10,1,0,0.8059,0.0,0.4932490289211273,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3825,2.1223281465587718e-10,2,0,0.8028,0.0,0.4932490289211273,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3825,2.1223281465587718e-10,3,0,0.8035,0.0,0.4932490289211273,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3825,2.1223281465587718e-10,4,0,0.8053,0.0,0.4932490289211273,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,1796,1.1946176492472205e-08,0,0,0.8017,0.0,0.2759101092815399,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,1796,1.1946176492472205e-08,1,0,0.8013,0.0,0.2759101092815399,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,1796,1.1946176492472205e-08,2,1,0.8013,0.0,0.2759101092815399,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,1796,1.1946176492472205e-08,3,1,0.8,0.0,0.2759101092815399,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,1796,1.1946176492472205e-08,4,0,0.8025,0.0,0.2759101092815399,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2548,1.9660788552755548e-07,0,1,0.7918,0.0,0.23932532966136932,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2548,1.9660788552755548e-07,1,0,0.7877,0.0,0.23932532966136932,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2548,1.9660788552755548e-07,2,0,0.7898,0.0,0.23932532966136932,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2548,1.9660788552755548e-07,3,1,0.8046,0.0,0.23932532966136932,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,2548,1.9660788552755548e-07,4,1,0.8042,0.0,0.23932532966136932,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,6437,3.7091490989737963e-10,0,0,0.7948,0.0,0.2849966883659363,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,6437,3.7091490989737963e-10,1,0,0.7981,0.0,0.2849966883659363,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,6437,3.7091490989737963e-10,2,0,0.8101,0.0,0.2849966883659363,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,6437,3.7091490989737963e-10,3,0,0.8083,0.0,0.2849966883659363,0.031372517347335815
ConvNetBN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,6437,3.7091490989737963e-10,4,0,0.8105,0.0,0.2849966883659363,0.031372517347335815
