model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,821,1.2990191862627398e-05,0,0,0.807,0.0,0.33773666620254517,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,821,1.2990191862627398e-05,1,0,0.8119,0.0,0.33773666620254517,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,821,1.2990191862627398e-05,2,0,0.8011,0.0,0.33773666620254517,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,821,1.2990191862627398e-05,3,0,0.809,0.0,0.33773666620254517,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,843,9.243004797099275e-07,0,0,0.8078,0.0,0.3836449682712555,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,843,9.243004797099275e-07,1,0,0.8068,0.0,0.3836449682712555,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,843,9.243004797099275e-07,2,0,0.801,0.0,0.3836449682712555,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,843,9.243004797099275e-07,3,0,0.8147,0.0,0.3836449682712555,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1257,3.5325806724273434e-09,0,0,0.8029,0.0,0.3071785271167755,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1257,3.5325806724273434e-09,1,0,0.8121,0.0,0.3071785271167755,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1257,3.5325806724273434e-09,2,0,0.815,0.0,0.3071785271167755,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1257,3.5325806724273434e-09,3,0,0.7976,0.0,0.3071785271167755,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1547,3.306655079957088e-12,0,0,0.802,0.0,0.4858914315700531,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1547,3.306655079957088e-12,1,0,0.8136,0.0,0.4858914315700531,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1547,3.306655079957088e-12,2,0,0.7736,0.0,0.4858914315700531,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,1547,3.306655079957088e-12,3,0,0.8051,0.0,0.4858914315700531,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,4427,1.027343810022785e-08,0,0,0.8053,0.0,0.4570471942424774,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,4427,1.027343810022785e-08,1,0,0.8027,0.0,0.4570471942424774,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,4427,1.027343810022785e-08,2,0,0.8015,0.0,0.4570471942424774,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.002,100,0.0313725,4427,1.027343810022785e-08,3,0,0.8014,0.0,0.4570471942424774,0.031372517347335815
