model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,0,0,0.8087,0.0,0.3334944248199463,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,1,0,0.8104,0.0,0.3334944248199463,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,2,0,0.8073,0.0,0.3334944248199463,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,3,0,0.8106,0.0,0.3334944248199463,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,4,0,0.8009,0.0,0.3334944248199463,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,843,6.044654776715674e-10,5,0,0.7782,0.0,0.3334944248199463,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,0,0,0.8016,0.0,0.25223562121391296,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,1,0,0.8093,0.0,0.25223562121391296,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,2,0,0.818,0.0,0.25223562121391296,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,3,1,0.7936,0.0,0.25223562121391296,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,4,0,0.7928,0.0,0.25223562121391296,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,1257,0.007107404991984367,5,0,0.7926,0.0,0.25223562121391296,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,0,0,0.7978,0.0,0.2592388391494751,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,1,1,0.8171,0.0,0.2592388391494751,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,2,0,0.8017,0.0,0.2592388391494751,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,3,0,0.7936,0.0,0.2592388391494751,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,4,0,0.79,0.0,0.2592388391494751,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.8345489571913731e-09,5,1,0.806,0.0,0.2592388391494751,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,0,0,0.8038,0.0,0.27688875794410706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,1,0,0.8095,0.0,0.27688875794410706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,2,0,0.8182,0.0,0.27688875794410706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,3,0,0.7996,0.0,0.27688875794410706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,4,0,0.8057,0.0,0.27688875794410706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8730,2.894914030715512e-10,5,0,0.8033,0.0,0.27688875794410706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,0,0,0.8017,0.0,0.3245510160923004,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,1,0,0.8025,0.0,0.3245510160923004,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,2,0,0.8078,0.0,0.3245510160923004,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,3,0,0.7882,0.0,0.3245510160923004,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,4,0,0.8117,0.0,0.3245510160923004,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8055,2.939038457050458e-10,5,0,0.7972,0.0,0.3245510160923004,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,0,0,0.7992,0.0,0.2941541373729706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,1,0,0.8087,0.0,0.2941541373729706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,2,0,0.8056,0.0,0.2941541373729706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,3,0,0.7975,0.0,0.2941541373729706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,4,1,0.8075,0.0,0.2941541373729706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,5859,0.02953883819282055,5,0,0.7964,0.0,0.2941541373729706,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,0,0,0.7961,0.0,0.3496367633342743,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,1,0,0.8041,0.0,0.3496367633342743,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,2,0,0.8035,0.0,0.3496367633342743,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,3,0,0.8021,0.0,0.3496367633342743,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,4,0,0.8159,0.0,0.3496367633342743,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,8954,3.8886902586909855e-09,5,0,0.7993,0.0,0.3496367633342743,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,0,0,0.8082,0.0,0.31826186180114746,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,1,0,0.8073,0.0,0.31826186180114746,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,2,0,0.8041,0.0,0.31826186180114746,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,3,0,0.8137,0.0,0.31826186180114746,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,4,0,0.8083,0.0,0.31826186180114746,0.031372517347335815
ConvNetBN,sapa,random,dog-bird,42,0.005,250,0.0313725,821,9.204894695358234e-07,5,0,0.8115,0.0,0.31826186180114746,0.031372517347335815
