model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.09072738885879517,0,0,0.8406,0.0,0.01608150266110897,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.09072738885879517,1,1,0.8402,0.0,0.01608150266110897,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.09072738885879517,2,0,0.8385,0.0,0.01608150266110897,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.09072738885879517,3,0,0.8435,0.0,0.01608150266110897,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.09072738885879517,4,0,0.8352,0.0,0.01608150266110897,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3495,0.09072738885879517,5,1,0.8396,0.0,0.01608150266110897,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.08122392743825912,0,0,0.8366,0.0,0.018489014357328415,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.08122392743825912,1,0,0.836,0.0,0.018489014357328415,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.08122392743825912,2,0,0.8389,0.0,0.018489014357328415,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.08122392743825912,3,1,0.8325,0.0,0.018489014357328415,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.08122392743825912,4,0,0.8407,0.0,0.018489014357328415,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2903,0.08122392743825912,5,0,0.8407,0.0,0.018489014357328415,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.08031903207302094,0,1,0.8413,16.666666666666668,0.017654966562986374,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.08031903207302094,1,0,0.8394,16.666666666666668,0.017654966562986374,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.08031903207302094,2,0,0.8336,16.666666666666668,0.017654966562986374,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.08031903207302094,3,1,0.836,16.666666666666668,0.017654966562986374,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.08031903207302094,4,1,0.841,16.666666666666668,0.017654966562986374,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6697,0.08031903207302094,5,1,0.8387,16.666666666666668,0.017654966562986374,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.07794692367315292,0,0,0.8296,0.0,0.019596675410866737,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.07794692367315292,1,0,0.837,0.0,0.019596675410866737,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.07794692367315292,2,1,0.8343,0.0,0.019596675410866737,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.07794692367315292,3,0,0.8394,0.0,0.019596675410866737,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.07794692367315292,4,1,0.8419,0.0,0.019596675410866737,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2315,0.07794692367315292,5,1,0.8374,0.0,0.019596675410866737,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.07753831148147583,0,1,0.8376,0.0,0.017566047608852386,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.07753831148147583,1,1,0.839,0.0,0.017566047608852386,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.07753831148147583,2,1,0.8399,0.0,0.017566047608852386,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.07753831148147583,3,1,0.84,0.0,0.017566047608852386,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.07753831148147583,4,1,0.8388,0.0,0.017566047608852386,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6899,0.07753831148147583,5,1,0.8399,0.0,0.017566047608852386,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.07153104245662689,0,0,0.8325,0.0,0.015107586048543453,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.07153104245662689,1,0,0.8306,0.0,0.015107586048543453,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.07153104245662689,2,0,0.8382,0.0,0.015107586048543453,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.07153104245662689,3,0,0.8352,0.0,0.015107586048543453,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.07153104245662689,4,0,0.8366,0.0,0.015107586048543453,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2312,0.07153104245662689,5,0,0.8414,0.0,0.015107586048543453,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.06660790741443634,0,1,0.8431,0.0,0.02013561688363552,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.06660790741443634,1,0,0.8364,0.0,0.02013561688363552,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.06660790741443634,2,0,0.8434,0.0,0.02013561688363552,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.06660790741443634,3,0,0.8389,0.0,0.02013561688363552,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.06660790741443634,4,0,0.8372,0.0,0.02013561688363552,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,6353,0.06660790741443634,5,0,0.8339,0.0,0.02013561688363552,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.06647530198097229,0,0,0.8311,0.0,0.022963635623455048,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.06647530198097229,1,0,0.8311,0.0,0.022963635623455048,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.06647530198097229,2,0,0.8329,0.0,0.022963635623455048,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.06647530198097229,3,0,0.8398,0.0,0.022963635623455048,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.06647530198097229,4,0,0.8402,0.0,0.022963635623455048,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4421,0.06647530198097229,5,0,0.8361,0.0,0.022963635623455048,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2242,0.06285588443279266,0,1,0.8361,0.0,0.018387971445918083,0.031372517347335815
