model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,9960,1.3059697767658918e-09,0,0,0.8359,0.0,0.031144363805651665,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,9960,1.3059697767658918e-09,1,0,0.8458,0.0,0.031144363805651665,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,9960,1.3059697767658918e-09,2,0,0.8425,0.0,0.031144363805651665,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,9960,1.3059697767658918e-09,3,0,0.8371,0.0,0.031144363805651665,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,9960,1.3059697767658918e-09,4,0,0.8367,0.0,0.031144363805651665,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,270,9.502248576609418e-05,0,0,0.8402,0.0,0.01688939705491066,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,270,9.502248576609418e-05,1,0,0.8396,0.0,0.01688939705491066,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,270,9.502248576609418e-05,2,1,0.8402,0.0,0.01688939705491066,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,270,9.502248576609418e-05,3,0,0.8368,0.0,0.01688939705491066,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,270,9.502248576609418e-05,4,0,0.8401,0.0,0.01688939705491066,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7911,8.985876931433268e-09,0,0,0.837,0.0,0.029861945658922195,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7911,8.985876931433268e-09,1,0,0.8425,0.0,0.029861945658922195,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7911,8.985876931433268e-09,2,0,0.8427,0.0,0.029861945658922195,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7911,8.985876931433268e-09,3,0,0.8331,0.0,0.029861945658922195,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7911,8.985876931433268e-09,4,0,0.8382,0.0,0.029861945658922195,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7897,9.435835446325314e-10,0,0,0.84,0.0,0.031156891956925392,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7897,9.435835446325314e-10,1,0,0.8363,0.0,0.031156891956925392,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7897,9.435835446325314e-10,2,0,0.8415,0.0,0.031156891956925392,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7897,9.435835446325314e-10,3,0,0.837,0.0,0.031156891956925392,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,7897,9.435835446325314e-10,4,0,0.8348,0.0,0.031156891956925392,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,0,0,0.8441,20.0,0.017697876319289207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,1,0,0.8308,20.0,0.017697876319289207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,2,0,0.8368,20.0,0.017697876319289207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,3,0,0.8421,20.0,0.017697876319289207,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,4,0,0.8462,20.0,0.017697876319289207,0.031372517347335815
