model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,3495,0.2213371992111206,0,1,0.8387,20.0,0.015246524475514889,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,3495,0.2213371992111206,1,1,0.8312,20.0,0.015246524475514889,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,3495,0.2213371992111206,2,1,0.838,20.0,0.015246524475514889,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,3495,0.2213371992111206,3,1,0.8404,20.0,0.015246524475514889,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,3495,0.2213371992111206,4,1,0.8329,20.0,0.015246524475514889,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2903,0.06434622406959534,0,1,0.8364,0.0,0.022508714348077774,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2903,0.06434622406959534,1,0,0.8358,0.0,0.022508714348077774,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2903,0.06434622406959534,2,0,0.8428,0.0,0.022508714348077774,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2903,0.06434622406959534,3,1,0.8393,0.0,0.022508714348077774,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2903,0.06434622406959534,4,1,0.8381,0.0,0.022508714348077774,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6697,0.063946433365345,0,1,0.841,0.0,0.018825801089406013,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6697,0.063946433365345,1,1,0.8366,0.0,0.018825801089406013,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6697,0.063946433365345,2,1,0.84,0.0,0.018825801089406013,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6697,0.063946433365345,3,1,0.838,0.0,0.018825801089406013,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6697,0.063946433365345,4,0,0.8418,0.0,0.018825801089406013,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2315,0.15797878801822662,0,0,0.83,20.0,0.020818060263991356,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2315,0.15797878801822662,1,0,0.8361,20.0,0.020818060263991356,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2315,0.15797878801822662,2,0,0.8389,20.0,0.020818060263991356,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2315,0.15797878801822662,3,0,0.8366,20.0,0.020818060263991356,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2315,0.15797878801822662,4,0,0.8398,20.0,0.020818060263991356,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2312,0.19599543511867523,0,1,0.8384,20.0,0.017506195232272148,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2312,0.19599543511867523,1,0,0.8377,20.0,0.017506195232272148,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2312,0.19599543511867523,2,0,0.8427,20.0,0.017506195232272148,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2312,0.19599543511867523,3,0,0.8385,20.0,0.017506195232272148,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2312,0.19599543511867523,4,0,0.8402,20.0,0.017506195232272148,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6353,0.05452051758766174,0,0,0.841,0.0,0.02336137369275093,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6353,0.05452051758766174,1,0,0.8409,0.0,0.02336137369275093,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6353,0.05452051758766174,2,0,0.8454,0.0,0.02336137369275093,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6353,0.05452051758766174,3,0,0.8437,0.0,0.02336137369275093,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,6353,0.05452051758766174,4,0,0.8451,0.0,0.02336137369275093,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,4421,0.00012962703476659954,0,0,0.8396,0.0,0.02267337776720524,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,4421,0.00012962703476659954,1,0,0.8364,0.0,0.02267337776720524,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,4421,0.00012962703476659954,2,0,0.8292,0.0,0.02267337776720524,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,4421,0.00012962703476659954,3,0,0.8365,0.0,0.02267337776720524,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,4421,0.00012962703476659954,4,0,0.835,0.0,0.02267337776720524,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2242,0.0005438480293378234,0,1,0.8321,0.0,0.019695820286870003,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2242,0.0005438480293378234,1,1,0.8415,0.0,0.019695820286870003,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2242,0.0005438480293378234,2,0,0.8323,0.0,0.019695820286870003,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2242,0.0005438480293378234,3,0,0.8396,0.0,0.019695820286870003,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.005,250,0.0313725,2242,0.0005438480293378234,4,0,0.8357,0.0,0.019695820286870003,0.031372517347335815
