model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,3495,0.09053992480039597,0,0,0.8393,0.0,0.01369378250092268,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,3495,0.09053992480039597,1,1,0.8341,0.0,0.01369378250092268,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,3495,0.09053992480039597,2,1,0.8347,0.0,0.01369378250092268,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,3495,0.09053992480039597,3,0,0.8356,0.0,0.01369378250092268,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,3495,0.09053992480039597,4,1,0.8311,0.0,0.01369378250092268,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,3495,0.09053992480039597,5,0,0.8351,0.0,0.01369378250092268,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,2903,0.08074285835027695,0,0,0.8367,0.0,0.016732055693864822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,2903,0.08074285835027695,1,0,0.8382,0.0,0.016732055693864822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,2903,0.08074285835027695,2,0,0.837,0.0,0.016732055693864822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,2903,0.08074285835027695,3,0,0.8315,0.0,0.016732055693864822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,2903,0.08074285835027695,4,0,0.8461,0.0,0.016732055693864822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,2903,0.08074285835027695,5,0,0.8348,0.0,0.016732055693864822,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,6697,0.08012492209672928,0,1,0.837,16.666666666666668,0.01597161963582039,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,6697,0.08012492209672928,1,1,0.8466,16.666666666666668,0.01597161963582039,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,6697,0.08012492209672928,2,0,0.8446,16.666666666666668,0.01597161963582039,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,6697,0.08012492209672928,3,0,0.8379,16.666666666666668,0.01597161963582039,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,6697,0.08012492209672928,4,0,0.8358,16.666666666666668,0.01597161963582039,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.02,1000,0.0313725,6697,0.08012492209672928,5,1,0.8349,16.666666666666668,0.01597161963582039,0.031372517347335815
