model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,3495,0.042527295649051666,0,1,0.8337,0.0,0.012788521125912666,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,3495,0.042527295649051666,1,1,0.8344,0.0,0.012788521125912666,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,3495,0.042527295649051666,2,0,0.8358,0.0,0.012788521125912666,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,3495,0.042527295649051666,3,0,0.8387,0.0,0.012788521125912666,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2903,0.00031290986225940287,0,0,0.8323,0.0,0.01598210074007511,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2903,0.00031290986225940287,1,0,0.8301,0.0,0.01598210074007511,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2903,0.00031290986225940287,2,0,0.8337,0.0,0.01598210074007511,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2903,0.00031290986225940287,3,0,0.8331,0.0,0.01598210074007511,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6697,0.0315973274409771,0,0,0.8368,0.0,0.01494605839252472,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6697,0.0315973274409771,1,0,0.8314,0.0,0.01494605839252472,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6697,0.0315973274409771,2,0,0.8339,0.0,0.01494605839252472,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6697,0.0315973274409771,3,0,0.8333,0.0,0.01494605839252472,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2315,0.016999151557683945,0,0,0.8357,0.0,0.017066434025764465,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2315,0.016999151557683945,1,0,0.8359,0.0,0.017066434025764465,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2315,0.016999151557683945,2,0,0.8293,0.0,0.017066434025764465,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2315,0.016999151557683945,3,0,0.8382,0.0,0.017066434025764465,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6899,0.11627567559480667,0,1,0.8355,0.0,0.01531404908746481,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6899,0.11627567559480667,1,1,0.8323,0.0,0.01531404908746481,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6899,0.11627567559480667,2,1,0.8326,0.0,0.01531404908746481,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6899,0.11627567559480667,3,1,0.8287,0.0,0.01531404908746481,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2312,3.2352530979551375e-05,0,0,0.823,0.0,0.013429640792310238,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2312,3.2352530979551375e-05,1,0,0.8375,0.0,0.013429640792310238,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2312,3.2352530979551375e-05,2,0,0.8306,0.0,0.013429640792310238,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,2312,3.2352530979551375e-05,3,1,0.8408,0.0,0.013429640792310238,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.0400002,2000,0.0313725,6353,0.0002757579495664686,0,0,0.8328,0.0,0.017820728942751884,0.031372517347335815
