model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,3495,0.042527295649051666,0,0,0.8322,0.0,0.01680026389658451,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,3495,0.042527295649051666,1,0,0.8372,0.0,0.01680026389658451,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,3495,0.042527295649051666,2,0,0.8379,0.0,0.01680026389658451,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,3495,0.042527295649051666,3,1,0.8398,0.0,0.01680026389658451,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2903,0.00031290986225940287,0,0,0.8348,0.0,0.020648304373025894,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2903,0.00031290986225940287,1,0,0.8302,0.0,0.020648304373025894,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2903,0.00031290986225940287,2,0,0.8323,0.0,0.020648304373025894,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2903,0.00031290986225940287,3,0,0.8379,0.0,0.020648304373025894,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6697,0.0315973274409771,0,0,0.84,0.0,0.019712725654244423,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6697,0.0315973274409771,1,1,0.8301,0.0,0.019712725654244423,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6697,0.0315973274409771,2,1,0.8402,0.0,0.019712725654244423,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6697,0.0315973274409771,3,0,0.8358,0.0,0.019712725654244423,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2315,0.016999151557683945,0,0,0.8295,0.0,0.02192694880068302,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2315,0.016999151557683945,1,0,0.8367,0.0,0.02192694880068302,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2315,0.016999151557683945,2,0,0.8334,0.0,0.02192694880068302,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2315,0.016999151557683945,3,0,0.8283,0.0,0.02192694880068302,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6899,0.11627567559480667,0,1,0.834,0.0,0.02008105255663395,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6899,0.11627567559480667,1,1,0.8394,0.0,0.02008105255663395,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6899,0.11627567559480667,2,1,0.8373,0.0,0.02008105255663395,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6899,0.11627567559480667,3,1,0.8352,0.0,0.02008105255663395,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2312,3.2352530979551375e-05,0,0,0.8369,0.0,0.017824195325374603,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2312,3.2352530979551375e-05,1,0,0.8302,0.0,0.017824195325374603,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2312,3.2352530979551375e-05,2,1,0.828,0.0,0.017824195325374603,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,2312,3.2352530979551375e-05,3,1,0.8338,0.0,0.017824195325374603,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6353,0.0002757579495664686,0,0,0.8348,0.0,0.023083915933966637,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6353,0.0002757579495664686,1,0,0.8299,0.0,0.023083915933966637,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6353,0.0002757579495664686,2,0,0.8354,0.0,0.023083915933966637,0.031372517347335815
ResNet20BN,fc,ours,dog-bird,42,0.040001,2000,0.0313725,6353,0.0002757579495664686,3,0,0.8308,0.0,0.023083915933966637,0.031372517347335815
