model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,9273,0.04705769941210747,0,1,0.8273,0.0,0.019968148320913315,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,9273,0.04705769941210747,1,0,0.8291,0.0,0.019968148320913315,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,9273,0.04705769941210747,2,1,0.8323,0.0,0.019968148320913315,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,9273,0.04705769941210747,3,0,0.8328,0.0,0.019968148320913315,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,9273,0.04705769941210747,4,0,0.8241,0.0,0.019968148320913315,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,9273,0.04705769941210747,5,0,0.8297,0.0,0.019968148320913315,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,2535,0.046117424964904785,0,1,0.8324,0.0,0.017909279093146324,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,2535,0.046117424964904785,1,0,0.8288,0.0,0.017909279093146324,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,2535,0.046117424964904785,2,1,0.8296,0.0,0.017909279093146324,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,2535,0.046117424964904785,3,1,0.8359,0.0,0.017909279093146324,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,2535,0.046117424964904785,4,1,0.8325,0.0,0.017909279093146324,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,2535,0.046117424964904785,5,1,0.8305,0.0,0.017909279093146324,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,4118,0.042715828865766525,0,0,0.8393,0.0,0.026069357991218567,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,4118,0.042715828865766525,1,0,0.829,0.0,0.026069357991218567,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,4118,0.042715828865766525,2,0,0.8296,0.0,0.026069357991218567,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,4118,0.042715828865766525,3,0,0.8305,0.0,0.026069357991218567,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,4118,0.042715828865766525,4,0,0.833,0.0,0.026069357991218567,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,4118,0.042715828865766525,5,0,0.8296,0.0,0.026069357991218567,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,5462,0.03297711908817291,0,0,0.8326,0.0,0.02209869585931301,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,5462,0.03297711908817291,1,0,0.8351,0.0,0.02209869585931301,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,5462,0.03297711908817291,2,0,0.8253,0.0,0.02209869585931301,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,5462,0.03297711908817291,3,0,0.8332,0.0,0.02209869585931301,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,5462,0.03297711908817291,4,0,0.8244,0.0,0.02209869585931301,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,5462,0.03297711908817291,5,0,0.8331,0.0,0.02209869585931301,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,8476,0.028856463730335236,0,0,0.8397,0.0,0.01565716043114662,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,8476,0.028856463730335236,1,0,0.8281,0.0,0.01565716043114662,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,8476,0.028856463730335236,2,0,0.8371,0.0,0.01565716043114662,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,8476,0.028856463730335236,3,1,0.823,0.0,0.01565716043114662,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,8476,0.028856463730335236,4,0,0.8372,0.0,0.01565716043114662,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,8476,0.028856463730335236,5,0,0.8356,0.0,0.01565716043114662,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,3342,0.027061982080340385,0,1,0.8347,0.0,0.021251115947961807,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,3342,0.027061982080340385,1,0,0.8305,0.0,0.021251115947961807,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,3342,0.027061982080340385,2,1,0.8323,0.0,0.021251115947961807,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,3342,0.027061982080340385,3,1,0.8269,0.0,0.021251115947961807,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,3342,0.027061982080340385,4,1,0.8313,0.0,0.021251115947961807,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,3342,0.027061982080340385,5,0,0.8313,0.0,0.021251115947961807,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,313,0.022839844226837158,0,0,0.8366,0.0,0.022991789504885674,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,313,0.022839844226837158,1,0,0.834,0.0,0.022991789504885674,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,313,0.022839844226837158,2,0,0.8271,0.0,0.022991789504885674,0.031372517347335815
ResNet20BN,fc,ours,frog-airplane,42,0.04,2000,0.0313725,313,0.022839844226837158,3,0,0.8348,0.0,0.022991789504885674,0.031372517347335815
