model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2242,0.059234946966171265,0,0,0.8381,0.0,0.01969497837126255,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2242,0.059234946966171265,1,0,0.838,0.0,0.01969497837126255,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2242,0.059234946966171265,2,0,0.8376,0.0,0.01969497837126255,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2242,0.059234946966171265,3,0,0.8378,0.0,0.01969497837126255,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2312,3.241505328333005e-05,0,0,0.8397,0.0,0.019965920597314835,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2312,3.241505328333005e-05,1,0,0.8348,0.0,0.019965920597314835,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2312,3.241505328333005e-05,2,0,0.832,0.0,0.019965920597314835,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2312,3.241505328333005e-05,3,0,0.8364,0.0,0.019965920597314835,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2315,0.017049316316843033,0,1,0.8349,0.0,0.023576287552714348,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2315,0.017049316316843033,1,0,0.8343,0.0,0.023576287552714348,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2315,0.017049316316843033,2,0,0.8403,0.0,0.023576287552714348,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2315,0.017049316316843033,3,0,0.8358,0.0,0.023576287552714348,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2903,0.0003107345837634057,0,0,0.8377,0.0,0.02100401557981968,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2903,0.0003107345837634057,1,0,0.8386,0.0,0.02100401557981968,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2903,0.0003107345837634057,2,0,0.8317,0.0,0.02100401557981968,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,2903,0.0003107345837634057,3,1,0.8382,0.0,0.02100401557981968,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,3495,0.042469482868909836,0,0,0.8349,0.0,0.016438951715826988,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,3495,0.042469482868909836,1,0,0.831,0.0,0.016438951715826988,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,3495,0.042469482868909836,2,1,0.8394,0.0,0.016438951715826988,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.002,100,0.0313725,3495,0.042469482868909836,3,0,0.8434,0.0,0.016438951715826988,0.031372517347335815
