model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,9273,0.04705769941210747,0,0,0.8359,0.0,0.023376522585749626,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,9273,0.04705769941210747,1,0,0.8335,0.0,0.023376522585749626,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,9273,0.04705769941210747,2,0,0.8366,0.0,0.023376522585749626,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,9273,0.04705769941210747,3,0,0.8384,0.0,0.023376522585749626,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,9273,0.04705769941210747,4,0,0.8335,0.0,0.023376522585749626,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,9273,0.04705769941210747,5,0,0.8331,0.0,0.023376522585749626,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,2535,0.046117424964904785,0,0,0.8343,0.0,0.019152244552969933,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,2535,0.046117424964904785,1,1,0.8372,0.0,0.019152244552969933,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,2535,0.046117424964904785,2,1,0.8309,0.0,0.019152244552969933,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,2535,0.046117424964904785,3,0,0.8375,0.0,0.019152244552969933,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,2535,0.046117424964904785,4,0,0.8332,0.0,0.019152244552969933,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,2535,0.046117424964904785,5,0,0.8374,0.0,0.019152244552969933,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,4118,0.042715828865766525,0,1,0.8347,0.0,0.030368909239768982,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,4118,0.042715828865766525,1,0,0.8412,0.0,0.030368909239768982,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,4118,0.042715828865766525,2,0,0.8416,0.0,0.030368909239768982,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,4118,0.042715828865766525,3,0,0.8392,0.0,0.030368909239768982,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,4118,0.042715828865766525,4,0,0.8398,0.0,0.030368909239768982,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,4118,0.042715828865766525,5,0,0.8328,0.0,0.030368909239768982,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,5462,0.03297711908817291,0,0,0.8386,0.0,0.024669086560606956,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,5462,0.03297711908817291,1,0,0.8351,0.0,0.024669086560606956,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,5462,0.03297711908817291,2,0,0.8311,0.0,0.024669086560606956,0.031372517347335815
ResNet20BN,fc,random,frog-airplane,42,0.005,250,0.0313725,5462,0.03297711908817291,3,0,0.8388,0.0,0.024669086560606956,0.031372517347335815
