model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.016621578484773636,0,1,0.8439,0.0,0.2363440990447998,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.016621578484773636,1,0,0.8427,0.0,0.2363440990447998,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.016621578484773636,2,1,0.835,0.0,0.2363440990447998,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.016621578484773636,3,1,0.8354,0.0,0.2363440990447998,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.016621578484773636,4,1,0.8379,0.0,0.2363440990447998,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.02142081968486309,0,1,0.8422,0.0,0.20078912377357483,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.02142081968486309,1,0,0.836,0.0,0.20078912377357483,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.02142081968486309,2,0,0.8404,0.0,0.20078912377357483,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.02142081968486309,3,0,0.8353,0.0,0.20078912377357483,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.02142081968486309,4,0,0.8395,0.0,0.20078912377357483,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.00011744177754735574,0,1,0.8374,0.0,0.21602411568164825,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.00011744177754735574,1,0,0.8306,0.0,0.21602411568164825,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.00011744177754735574,2,1,0.838,0.0,0.21602411568164825,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.00011744177754735574,3,0,0.8321,0.0,0.21602411568164825,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.00011744177754735574,4,1,0.8428,0.0,0.21602411568164825,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.020535273477435112,0,0,0.8311,0.0,0.19578030705451965,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.020535273477435112,1,0,0.8358,0.0,0.19578030705451965,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.020535273477435112,2,0,0.8375,0.0,0.19578030705451965,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.020535273477435112,3,1,0.8391,0.0,0.19578030705451965,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.020535273477435112,4,1,0.8363,0.0,0.19578030705451965,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,833,0.02050304226577282,0,0,0.8351,0.0,0.21986322104930878,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,833,0.02050304226577282,1,0,0.8361,0.0,0.21986322104930878,0.031372517347335815
