model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.018120048567652702,0,0,0.8389,0.0,0.2305651158094406,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.018120048567652702,1,0,0.8436,0.0,0.2305651158094406,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.018120048567652702,2,1,0.8336,0.0,0.2305651158094406,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.018120048567652702,3,0,0.8322,0.0,0.2305651158094406,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.018120048567652702,4,1,0.8391,0.0,0.2305651158094406,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5118,0.018120048567652702,5,0,0.8336,0.0,0.2305651158094406,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.017859889194369316,0,0,0.8394,0.0,0.20051102340221405,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.017859889194369316,1,1,0.8338,0.0,0.20051102340221405,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.017859889194369316,2,0,0.836,0.0,0.20051102340221405,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.017859889194369316,3,1,0.829,0.0,0.20051102340221405,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.017859889194369316,4,0,0.8404,0.0,0.20051102340221405,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,8740,0.017859889194369316,5,0,0.8361,0.0,0.20051102340221405,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.017394747585058212,0,1,0.8386,0.0,0.2060130089521408,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.017394747585058212,1,1,0.8325,0.0,0.2060130089521408,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.017394747585058212,2,0,0.8364,0.0,0.2060130089521408,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.017394747585058212,3,1,0.8307,0.0,0.2060130089521408,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.017394747585058212,4,0,0.8336,0.0,0.2060130089521408,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,5324,0.017394747585058212,5,0,0.8397,0.0,0.2060130089521408,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.01713879592716694,0,1,0.8428,0.0,0.1896510124206543,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.01713879592716694,1,0,0.8309,0.0,0.1896510124206543,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.01713879592716694,2,1,0.8415,0.0,0.1896510124206543,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.01713879592716694,3,0,0.8381,0.0,0.1896510124206543,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.01713879592716694,4,1,0.8361,0.0,0.1896510124206543,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,4630,0.01713879592716694,5,1,0.8374,0.0,0.1896510124206543,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.001,50,0.0313725,833,0.017085954546928406,0,1,0.8381,0.0,0.20690269768238068,0.031372517347335815
