model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016666196286678314,0,1,0.8356,0.0,0.22052431106567383,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016666196286678314,1,0,0.8401,0.0,0.22052431106567383,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016666196286678314,2,0,0.8343,0.0,0.22052431106567383,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016666196286678314,3,1,0.8361,0.0,0.22052431106567383,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016666196286678314,4,1,0.8368,0.0,0.22052431106567383,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.0213613361120224,0,0,0.8347,0.0,0.19407919049263,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.0213613361120224,1,0,0.8422,0.0,0.19407919049263,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.0213613361120224,2,1,0.8317,0.0,0.19407919049263,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.0213613361120224,3,1,0.838,0.0,0.19407919049263,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.0213613361120224,4,0,0.8412,0.0,0.19407919049263,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00011914506467292085,0,0,0.8419,0.0,0.20074956119060516,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00011914506467292085,1,0,0.835,0.0,0.20074956119060516,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00011914506467292085,2,0,0.8373,0.0,0.20074956119060516,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00011914506467292085,3,1,0.8348,0.0,0.20074956119060516,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00011914506467292085,4,0,0.841,0.0,0.20074956119060516,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4630,0.02059738151729107,0,0,0.843,0.0,0.18665550649166107,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4630,0.02059738151729107,1,1,0.8317,0.0,0.18665550649166107,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4630,0.02059738151729107,2,1,0.8402,0.0,0.18665550649166107,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4630,0.02059738151729107,3,1,0.8412,0.0,0.18665550649166107,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,4630,0.02059738151729107,4,0,0.8342,0.0,0.18665550649166107,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,833,0.02051633410155773,0,1,0.8374,0.0,0.19579806923866272,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,833,0.02051633410155773,1,0,0.8362,0.0,0.19579806923866272,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,833,0.02051633410155773,2,0,0.8359,0.0,0.19579806923866272,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,833,0.02051633410155773,3,1,0.8385,0.0,0.19579806923866272,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,833,0.02051633410155773,4,1,0.8377,0.0,0.19579806923866272,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2065,0.01893262378871441,0,1,0.8355,0.0,0.19636313617229462,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2065,0.01893262378871441,1,1,0.8321,0.0,0.19636313617229462,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2065,0.01893262378871441,2,1,0.8383,0.0,0.19636313617229462,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2065,0.01893262378871441,3,1,0.8418,0.0,0.19636313617229462,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2065,0.01893262378871441,4,1,0.832,0.0,0.19636313617229462,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7056,0.01891736313700676,0,0,0.8349,0.0,0.2213803082704544,0.031372517347335815
