model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016621578484773636,0,1,0.8379,0.0,0.2257111519575119,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016621578484773636,1,1,0.8325,0.0,0.2257111519575119,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016621578484773636,2,1,0.8358,0.0,0.2257111519575119,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016621578484773636,3,1,0.8328,0.0,0.2257111519575119,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.016621578484773636,4,1,0.8427,0.0,0.2257111519575119,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.02142081968486309,0,1,0.8314,0.0,0.19120486080646515,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.02142081968486309,1,1,0.8368,0.0,0.19120486080646515,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.02142081968486309,2,0,0.8356,0.0,0.19120486080646515,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.02142081968486309,3,1,0.8363,0.0,0.19120486080646515,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.02142081968486309,4,0,0.848,0.0,0.19120486080646515,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00011744177754735574,0,0,0.8375,0.0,0.2006511688232422,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00011744177754735574,1,0,0.8309,0.0,0.2006511688232422,0.031372517347335815
