model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.00012774369679391384,0,1,0.837,0.0,0.20893894135951996,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.00012774369679391384,1,1,0.8384,0.0,0.20893894135951996,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.00012774369679391384,2,1,0.8365,0.0,0.20893894135951996,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.00012774369679391384,3,1,0.8408,0.0,0.20893894135951996,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5118,0.00012774369679391384,4,1,0.8373,0.0,0.20893894135951996,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.38346678018569946,0,1,0.8411,40.0,0.19447548687458038,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.38346678018569946,1,1,0.8348,40.0,0.19447548687458038,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.38346678018569946,2,1,0.8331,40.0,0.19447548687458038,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.38346678018569946,3,1,0.8417,40.0,0.19447548687458038,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8740,0.38346678018569946,4,0,0.8406,40.0,0.19447548687458038,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.0008457770454697311,0,1,0.8389,0.0,0.23121948540210724,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.0008457770454697311,1,1,0.8319,0.0,0.23121948540210724,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.0008457770454697311,2,0,0.8402,0.0,0.23121948540210724,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5324,0.0008457770454697311,3,0,0.841,0.0,0.23121948540210724,0.031372517347335815
