model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9960,1.302670971092823e-09,0,0,0.8441,0.0,0.22126364707946777,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9960,1.302670971092823e-09,1,0,0.8351,0.0,0.22126364707946777,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9960,1.302670971092823e-09,2,0,0.8339,0.0,0.22126364707946777,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9960,1.302670971092823e-09,3,0,0.8388,0.0,0.22126364707946777,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9960,1.302670971092823e-09,4,0,0.834,0.0,0.22126364707946777,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,270,9.590716945240274e-05,0,0,0.8327,0.0,0.1945601850748062,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,270,9.590716945240274e-05,1,1,0.8418,0.0,0.1945601850748062,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,270,9.590716945240274e-05,2,1,0.8346,0.0,0.1945601850748062,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,270,9.590716945240274e-05,3,1,0.8345,0.0,0.1945601850748062,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,270,9.590716945240274e-05,4,0,0.8311,0.0,0.1945601850748062,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7911,8.915326255021228e-09,0,0,0.8361,0.0,0.21066270768642426,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7911,8.915326255021228e-09,1,0,0.8386,0.0,0.21066270768642426,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7911,8.915326255021228e-09,2,0,0.8408,0.0,0.21066270768642426,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7911,8.915326255021228e-09,3,0,0.8378,0.0,0.21066270768642426,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7911,8.915326255021228e-09,4,0,0.8384,0.0,0.21066270768642426,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7897,9.428487990348344e-10,0,0,0.8414,0.0,0.24411077797412872,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7897,9.428487990348344e-10,1,0,0.839,0.0,0.24411077797412872,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7897,9.428487990348344e-10,2,0,0.841,0.0,0.24411077797412872,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7897,9.428487990348344e-10,3,0,0.8329,0.0,0.24411077797412872,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,7897,9.428487990348344e-10,4,0,0.8375,0.0,0.24411077797412872,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5479,0.25783243775367737,0,1,0.8416,20.0,0.23507510125637054,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5479,0.25783243775367737,1,1,0.8314,20.0,0.23507510125637054,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,2,1,0.8313,20.0,nan,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,3,0,0.8415,20.0,nan,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5479,0.257374107837677,4,0,0.8406,20.0,nan,0.031372517347335815
