model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,0,1,0.8341,0.0,0.1876370757818222,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,1,1,0.8404,0.0,0.1876370757818222,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,2,1,0.8303,0.0,0.1876370757818222,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,3,0,0.8352,0.0,0.1876370757818222,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,0,1,0.8354,0.0,0.19177469611167908,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,1,1,0.8398,0.0,0.19177469611167908,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,2,1,0.8346,0.0,0.19177469611167908,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,3,1,0.8287,0.0,0.19177469611167908,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,0,1,0.84,0.0,0.18075010180473328,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,1,0,0.8341,0.0,0.18075010180473328,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,2,0,0.8348,0.0,0.18075010180473328,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,3,1,0.8378,0.0,0.18075010180473328,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,0,1,0.8413,0.0,0.19438087940216064,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,1,1,0.8415,0.0,0.19438087940216064,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,2,1,0.8322,0.0,0.19438087940216064,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,3,1,0.8372,0.0,0.19438087940216064,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,0,0,0.846,0.0,0.2219284623861313,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,1,1,0.8332,0.0,0.2219284623861313,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,2,1,0.8389,0.0,0.2219284623861313,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,3,1,0.8419,0.0,0.2219284623861313,0.031372517347335815
