model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,0,1,0.8363,0.0,0.18879015743732452,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,1,1,0.8325,0.0,0.18879015743732452,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,2,0,0.8294,0.0,0.18879015743732452,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,3,1,0.8349,0.0,0.18879015743732452,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,0,0,0.8364,0.0,0.20555439591407776,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,1,0,0.8344,0.0,0.20555439591407776,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,2,1,0.83,0.0,0.20555439591407776,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,3,0,0.8344,0.0,0.20555439591407776,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,0,0,0.8419,0.0,0.183882474899292,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,1,0,0.8409,0.0,0.183882474899292,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,2,0,0.8378,0.0,0.183882474899292,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,3,0,0.839,0.0,0.183882474899292,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,0,1,0.841,0.0,0.20189468562602997,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,1,1,0.841,0.0,0.20189468562602997,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,2,1,0.8372,0.0,0.20189468562602997,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,3,0,0.8389,0.0,0.20189468562602997,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,0,0,0.8399,0.0,0.2251357138156891,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,1,0,0.8306,0.0,0.2251357138156891,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,2,0,0.8366,0.0,0.2251357138156891,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,3,0,0.8352,0.0,0.2251357138156891,0.031372517347335815
