model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.02558690682053566,0,1,0.8399,0.0,0.19258777797222137,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.02558690682053566,1,0,0.8336,0.0,0.19258777797222137,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.02558690682053566,2,1,0.8317,0.0,0.19258777797222137,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,833,0.02558690682053566,3,0,0.8353,0.0,0.19258777797222137,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.02353312075138092,0,1,0.8321,0.0,0.19492226839065552,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.02353312075138092,1,1,0.8392,0.0,0.19492226839065552,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.02353312075138092,2,1,0.8373,0.0,0.19492226839065552,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2065,0.02353312075138092,3,1,0.8352,0.0,0.19492226839065552,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.00454782834276557,0,1,0.8371,0.0,0.17978553473949432,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.00454782834276557,1,0,0.8441,0.0,0.17978553473949432,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.00454782834276557,2,0,0.8396,0.0,0.17978553473949432,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,4630,0.00454782834276557,3,1,0.8421,0.0,0.17978553473949432,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,5.665306161972694e-06,0,0,0.8358,0.0,0.21884885430335999,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,5.665306161972694e-06,1,0,0.8376,0.0,0.21884885430335999,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,5.665306161972694e-06,2,1,0.8358,0.0,0.21884885430335999,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5118,5.665306161972694e-06,3,1,0.8379,0.0,0.21884885430335999,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.00014396794722415507,0,0,0.8385,0.0,0.2015700340270996,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.00014396794722415507,1,1,0.8341,0.0,nan,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.00014396794722415507,2,0,0.8366,0.0,nan,0.031372517347335815
ResNet20BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5324,0.00014396794722415507,3,0,0.8302,0.0,nan,0.031372517347335815
