model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,9235,0.00011241898027947173,0,0,0.8401,0.0,0.22938190400600433,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,9235,0.00011241898027947173,1,0,0.8349,0.0,0.22938190400600433,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,9235,0.00011241898027947173,2,0,0.8325,0.0,0.22938190400600433,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,9235,0.00011241898027947173,3,0,0.8344,0.0,0.22938190400600433,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,9235,0.00011241898027947173,4,0,0.8341,0.0,0.22938190400600433,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,9235,0.00011241898027947173,5,0,0.8344,0.0,0.22938190400600433,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,338,0.00011233215627726167,0,0,0.841,0.0,0.23758840560913086,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,338,0.00011233215627726167,1,0,0.8455,0.0,0.23758840560913086,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,338,0.00011233215627726167,2,1,0.8387,0.0,0.23758840560913086,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,338,0.00011233215627726167,3,0,0.8298,0.0,0.23758840560913086,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,338,0.00011233215627726167,4,0,0.8374,0.0,0.23758840560913086,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,338,0.00011233215627726167,5,0,0.8409,0.0,0.23758840560913086,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,255,0.00011048816668335348,0,0,0.8354,0.0,0.21291466057300568,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,255,0.00011048816668335348,1,0,0.8447,0.0,0.21291466057300568,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,255,0.00011048816668335348,2,0,0.8455,0.0,0.21291466057300568,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,255,0.00011048816668335348,3,0,0.8329,0.0,0.21291466057300568,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,255,0.00011048816668335348,4,0,0.8368,0.0,0.21291466057300568,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,255,0.00011048816668335348,5,0,0.8347,0.0,0.21291466057300568,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,3207,0.00011008474393747747,0,0,0.8446,0.0,0.20347976684570312,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,3207,0.00011008474393747747,1,0,0.8409,0.0,0.20347976684570312,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,3207,0.00011008474393747747,2,0,0.8395,0.0,0.20347976684570312,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,3207,0.00011008474393747747,3,1,0.8375,0.0,0.20347976684570312,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,3207,0.00011008474393747747,4,0,0.8391,0.0,0.20347976684570312,0.031372517347335815
ResNet20BN,gradmatch,random,frog-airplane,42,0.005,250,0.0313725,3207,0.00011008474393747747,5,0,0.8382,0.0,0.20347976684570312,0.031372517347335815
