model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,0,1,0.8394,0.0,0.19264374673366547,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,1,1,0.8305,0.0,0.19264374673366547,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,2,1,0.8355,0.0,0.19264374673366547,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,3,1,0.8354,0.0,0.19264374673366547,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,0,1,0.8371,0.0,0.20362432301044464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,1,1,0.8401,0.0,0.20362432301044464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,2,1,0.8391,0.0,0.20362432301044464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,3,1,0.835,0.0,0.20362432301044464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,0,0,0.8303,0.0,0.1877148151397705,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,1,0,0.8346,0.0,0.1877148151397705,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,2,0,0.8411,0.0,0.1877148151397705,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,3,0,0.8376,0.0,0.1877148151397705,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,0,0,0.8396,0.0,0.22862444818019867,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,1,1,0.8363,0.0,0.22862444818019867,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,2,0,0.8365,0.0,0.22862444818019867,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,3,1,0.8396,0.0,0.22862444818019867,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,0,0,0.8412,0.0,0.2038181871175766,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,1,0,0.8313,0.0,0.2038181871175766,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,2,0,0.8319,0.0,0.2038181871175766,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,3,0,0.8367,0.0,0.2038181871175766,0.031372517347335815
