model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5118,0.018120048567652702,0,1,0.8286,0.0,0.19878225028514862,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5118,0.018120048567652702,1,1,0.8381,0.0,0.19878225028514862,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5118,0.018120048567652702,2,1,0.8354,0.0,0.19878225028514862,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5118,0.018120048567652702,3,1,0.8394,0.0,0.19878225028514862,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5118,0.018120048567652702,4,1,0.835,0.0,0.19878225028514862,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5118,0.018120048567652702,5,1,0.8426,0.0,0.19878225028514862,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,8740,0.017859889194369316,0,1,0.8373,0.0,0.1727181077003479,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,8740,0.017859889194369316,1,1,0.8355,0.0,0.1727181077003479,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,8740,0.017859889194369316,2,1,0.8373,0.0,0.1727181077003479,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,8740,0.017859889194369316,3,1,0.8428,0.0,0.1727181077003479,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,8740,0.017859889194369316,4,1,0.8409,0.0,0.1727181077003479,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,8740,0.017859889194369316,5,1,0.8302,0.0,0.1727181077003479,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5324,0.017394747585058212,0,1,0.8385,0.0,0.1793014109134674,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5324,0.017394747585058212,1,1,0.8278,0.0,0.1793014109134674,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5324,0.017394747585058212,2,1,0.8448,0.0,0.1793014109134674,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5324,0.017394747585058212,3,1,0.8342,0.0,0.1793014109134674,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5324,0.017394747585058212,4,1,0.8311,0.0,0.1793014109134674,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,5324,0.017394747585058212,5,1,0.836,0.0,0.1793014109134674,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,4630,0.01713879592716694,0,1,0.8427,0.0,0.16676698625087738,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,4630,0.01713879592716694,1,1,0.8423,0.0,0.16676698625087738,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,4630,0.01713879592716694,2,1,0.8352,0.0,0.16676698625087738,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,4630,0.01713879592716694,3,1,0.8421,0.0,0.16676698625087738,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,4630,0.01713879592716694,4,1,0.833,0.0,0.16676698625087738,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,4630,0.01713879592716694,5,1,0.8389,0.0,0.16676698625087738,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,833,0.017085954546928406,0,1,0.84,0.0,0.17398951947689056,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.02,1000,0.0313725,833,0.017085954546928406,1,1,0.8384,0.0,0.17398951947689056,0.031372517347335815
