model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5118,0.018120048567652702,0,1,0.839,0.0,0.20070724189281464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5118,0.018120048567652702,1,1,0.8424,0.0,0.20070724189281464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5118,0.018120048567652702,2,1,0.8326,0.0,0.20070724189281464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5118,0.018120048567652702,3,1,0.8372,0.0,0.20070724189281464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5118,0.018120048567652702,4,1,0.8404,0.0,0.20070724189281464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5118,0.018120048567652702,5,1,0.835,0.0,0.20070724189281464,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,8740,0.017859889194369316,0,1,0.826,0.0,0.16820581257343292,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,8740,0.017859889194369316,1,1,0.8295,0.0,0.16820581257343292,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,8740,0.017859889194369316,2,1,0.8301,0.0,0.16820581257343292,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,8740,0.017859889194369316,3,1,0.8308,0.0,0.16820581257343292,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,8740,0.017859889194369316,4,1,0.8353,0.0,0.16820581257343292,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,8740,0.017859889194369316,5,1,0.8316,0.0,0.16820581257343292,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5324,0.017394747585058212,0,1,0.8293,0.0,0.17609114944934845,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5324,0.017394747585058212,1,1,0.8304,0.0,0.17609114944934845,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5324,0.017394747585058212,2,1,0.8342,0.0,0.17609114944934845,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5324,0.017394747585058212,3,1,0.8366,0.0,0.17609114944934845,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5324,0.017394747585058212,4,1,0.8331,0.0,0.17609114944934845,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,5324,0.017394747585058212,5,1,0.8343,0.0,0.17609114944934845,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,4630,0.01713879592716694,0,1,0.832,0.0,0.16219650208950043,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,4630,0.01713879592716694,1,1,0.8305,0.0,0.16219650208950043,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,4630,0.01713879592716694,2,1,0.8343,0.0,0.16219650208950043,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,4630,0.01713879592716694,3,1,0.8298,0.0,0.16219650208950043,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,4630,0.01713879592716694,4,1,0.832,0.0,0.16219650208950043,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,4630,0.01713879592716694,5,1,0.841,0.0,0.16219650208950043,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,833,0.017085954546928406,0,1,0.8374,0.0,0.1673547327518463,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,833,0.017085954546928406,1,1,0.8287,0.0,0.1673547327518463,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,833,0.017085954546928406,2,1,0.8336,0.0,0.1673547327518463,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,833,0.017085954546928406,3,1,0.8332,0.0,0.1673547327518463,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,833,0.017085954546928406,4,1,0.8368,0.0,0.1673547327518463,0.031372517347335815
ResNet20BN,sapa,ours,dog-bird,42,0.04,2000,0.0313725,833,0.017085954546928406,5,1,0.8365,0.0,0.1673547327518463,0.031372517347335815
