model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9235,0.00013485865201801062,0,1,0.8344,0.0,0.21599046885967255,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9235,0.00013485865201801062,1,1,0.8389,0.0,0.21599046885967255,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9235,0.00013485865201801062,2,1,0.8395,0.0,0.21599046885967255,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9235,0.00013485865201801062,3,0,0.8283,0.0,0.21599046885967255,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,9235,0.00013485865201801062,4,1,0.8338,0.0,0.21599046885967255,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,338,6.8490526246023364e-06,0,0,0.8476,0.0,0.22225499153137207,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,338,6.8490526246023364e-06,1,1,0.8437,0.0,0.22225499153137207,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,338,6.8490526246023364e-06,2,0,0.8411,0.0,0.22225499153137207,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,338,6.8490526246023364e-06,3,0,0.833,0.0,0.22225499153137207,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,338,6.8490526246023364e-06,4,0,0.8347,0.0,0.22225499153137207,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,255,0.00013256166130304337,0,0,0.8453,0.0,0.20925240218639374,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,255,0.00013256166130304337,1,0,0.8417,0.0,0.20925240218639374,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,255,0.00013256166130304337,2,0,0.843,0.0,0.20925240218639374,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,255,0.00013256166130304337,3,0,0.83,0.0,0.20925240218639374,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,255,0.00013256166130304337,4,0,0.8427,0.0,0.20925240218639374,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3207,0.00013210154429543763,0,0,0.843,0.0,0.21017086505889893,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3207,0.00013210154429543763,1,1,0.8301,0.0,0.21017086505889893,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3207,0.00013210154429543763,2,0,0.8385,0.0,0.21017086505889893,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3207,0.00013210154429543763,3,0,0.8413,0.0,0.21017086505889893,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,3207,0.00013210154429543763,4,0,0.8339,0.0,0.21017086505889893,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8563,0.00012913873069919646,0,0,0.8349,0.0,0.19773411750793457,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8563,0.00012913873069919646,1,0,0.8291,0.0,0.19773411750793457,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8563,0.00012913873069919646,2,0,0.8318,0.0,0.19773411750793457,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8563,0.00012913873069919646,3,1,0.8382,0.0,0.19773411750793457,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,8563,0.00012913873069919646,4,0,0.8384,0.0,0.19773411750793457,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,912,1.784850610420108e-05,0,0,0.8391,0.0,0.19800671935081482,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,912,1.784850610420108e-05,1,1,0.834,0.0,0.19800671935081482,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,912,1.784850610420108e-05,2,1,0.8429,0.0,0.19800671935081482,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,912,1.784850610420108e-05,3,0,0.8385,0.0,0.19800671935081482,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,912,1.784850610420108e-05,4,0,0.8328,0.0,0.19800671935081482,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,4639,0.00011949787585763261,0,0,0.8309,0.0,0.20346561074256897,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,4639,0.00011949787585763261,1,1,0.8387,0.0,0.20346561074256897,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,4639,0.00011949787585763261,2,1,0.8354,0.0,0.20346561074256897,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.001,50,0.0313725,4639,0.00011949787585763261,3,0,0.8333,0.0,0.20346561074256897,0.031372517347335815
