model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,9235,2.398689105120866e-07,0,0,0.8389,0.0,0.22959160804748535,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,9235,2.398689105120866e-07,1,0,0.84,0.0,0.22959160804748535,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,9235,2.398689105120866e-07,2,0,0.834,0.0,0.22959160804748535,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,9235,2.398689105120866e-07,3,0,0.8318,0.0,0.22959160804748535,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,9235,2.398689105120866e-07,4,0,0.8378,0.0,0.22959160804748535,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,338,0.07077597081661224,0,0,0.8383,0.0,0.28067582845687866,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,338,0.07077597081661224,1,0,0.8351,0.0,0.28067582845687866,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,338,0.07077597081661224,2,1,0.8398,0.0,0.28067582845687866,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,338,0.07077597081661224,3,0,0.8412,0.0,0.28067582845687866,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,338,0.07077597081661224,4,0,0.8448,0.0,0.28067582845687866,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,255,1.987613131859689e-07,0,0,0.8394,0.0,0.24972669780254364,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,255,1.987613131859689e-07,1,0,0.8316,0.0,0.24972669780254364,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,255,1.987613131859689e-07,2,0,0.8411,0.0,0.24972669780254364,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,255,1.987613131859689e-07,3,0,0.8455,0.0,0.24972669780254364,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,255,1.987613131859689e-07,4,0,0.8356,0.0,0.24972669780254364,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,3207,0.02162717469036579,0,0,0.8476,0.0,0.24368472397327423,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,3207,0.02162717469036579,1,0,0.8362,0.0,0.24368472397327423,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,3207,0.02162717469036579,2,0,0.8377,0.0,0.24368472397327423,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,3207,0.02162717469036579,3,0,0.841,0.0,0.24368472397327423,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,3207,0.02162717469036579,4,0,0.8397,0.0,0.24368472397327423,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,8563,2.0786872482858598e-05,0,0,0.837,0.0,0.2579735815525055,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,8563,2.0786872482858598e-05,1,0,0.8379,0.0,0.2579735815525055,0.031372517347335815
