model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,0,1,0.8329,0.0,0.20493336021900177,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,1,1,0.8309,0.0,0.20493336021900177,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,2,1,0.8364,0.0,0.20493336021900177,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,3,1,0.8347,0.0,0.20493336021900177,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,4,1,0.8384,0.0,0.20493336021900177,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,5,1,0.837,0.0,0.20493336021900177,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,0,0,0.8314,0.0,0.20766888558864594,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,1,1,0.8359,0.0,0.20766888558864594,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,2,1,0.8355,0.0,0.20766888558864594,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,3,0,0.8312,0.0,0.20766888558864594,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,4,1,0.8363,0.0,0.20766888558864594,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,5,1,0.8349,0.0,0.20766888558864594,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,0,1,0.8369,0.0,0.19872526824474335,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,1,1,0.8372,0.0,0.19872526824474335,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,2,1,0.8317,0.0,0.19872526824474335,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,3,1,0.8355,0.0,0.19872526824474335,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,4,1,0.8414,0.0,0.19872526824474335,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,5,0,0.8386,0.0,0.19872526824474335,0.031372517347335815
