model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,0,1,0.8362,0.0,0.20454661548137665,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,1,1,0.8346,0.0,0.20454661548137665,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,2,1,0.8362,0.0,0.20454661548137665,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,3,1,0.83,0.0,0.20454661548137665,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,4,1,0.8384,0.0,0.20454661548137665,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,9235,0.00011241898027947173,5,1,0.8317,0.0,0.20454661548137665,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,0,1,0.8295,0.0,0.20464248955249786,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,1,1,0.8397,0.0,0.20464248955249786,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,2,1,0.8377,0.0,0.20464248955249786,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,3,1,0.8317,0.0,0.20464248955249786,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,4,1,0.8338,0.0,0.20464248955249786,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,338,0.00011233215627726167,5,1,0.8347,0.0,0.20464248955249786,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,0,0,0.8344,0.0,0.1993194967508316,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,1,1,0.8387,0.0,0.1993194967508316,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,2,1,0.834,0.0,0.1993194967508316,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,3,1,0.8337,0.0,0.1993194967508316,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,4,1,0.8348,0.0,0.1993194967508316,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,255,0.00011048816668335348,5,1,0.8335,0.0,0.1993194967508316,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3207,0.00011008474393747747,0,1,0.8386,0.0,0.18335823714733124,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3207,0.00011008474393747747,1,1,0.8358,0.0,0.18335823714733124,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3207,0.00011008474393747747,2,1,0.8406,0.0,0.18335823714733124,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3207,0.00011008474393747747,3,1,0.8341,0.0,0.18335823714733124,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3207,0.00011008474393747747,4,1,0.8378,0.0,0.18335823714733124,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,3207,0.00011008474393747747,5,1,0.8386,0.0,0.18335823714733124,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,8563,0.00010761751036625355,0,1,0.8323,0.0,0.17004671692848206,0.031372517347335815
ResNet20BN,sapa,ours,frog-airplane,42,0.02,1000,0.0313725,8563,0.00010761751036625355,1,1,0.8417,0.0,0.17004671692848206,0.031372517347335815
