model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,0,1,0.8433,0.0,0.1937180608510971,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,1,0,0.8347,0.0,0.1937180608510971,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,2,0,0.8378,0.0,0.1937180608510971,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.02558690682053566,3,1,0.8394,0.0,0.1937180608510971,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,0,0,0.8357,0.0,0.22141924500465393,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,1,0,0.8343,0.0,0.22141924500465393,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,2,0,0.8306,0.0,0.22141924500465393,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.02353312075138092,3,0,0.8355,0.0,0.22141924500465393,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,0,0,0.8372,0.0,0.19571565091609955,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,1,0,0.8361,0.0,0.19571565091609955,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,2,1,0.84,0.0,0.19571565091609955,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.00454782834276557,3,0,0.8386,0.0,0.19571565091609955,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,0,0,0.8393,0.0,0.247416689991951,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,1,0,0.8335,0.0,0.247416689991951,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,2,1,0.8368,0.0,0.247416689991951,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,5.665306161972694e-06,3,0,0.8429,0.0,0.247416689991951,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,0,0,0.8434,0.0,0.20885805785655975,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,1,0,0.836,0.0,0.20885805785655975,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,2,0,0.8418,0.0,0.20885805785655975,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.00014396794722415507,3,0,0.8289,0.0,0.20885805785655975,0.031372517347335815
