model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,0.018120048567652702,0,0,0.8347,0.0,0.24802659451961517,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,0.018120048567652702,1,1,0.8366,0.0,0.24802659451961517,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,0.018120048567652702,2,0,0.8336,0.0,0.24802659451961517,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,0.018120048567652702,3,0,0.8371,0.0,0.24802659451961517,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,0.018120048567652702,4,0,0.8319,0.0,0.24802659451961517,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5118,0.018120048567652702,5,0,0.836,0.0,0.24802659451961517,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,8740,0.017859889194369316,0,1,0.8368,0.0,0.1993667483329773,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,8740,0.017859889194369316,1,0,0.8407,0.0,0.1993667483329773,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,8740,0.017859889194369316,2,0,0.831,0.0,0.1993667483329773,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,8740,0.017859889194369316,3,1,0.8366,0.0,0.1993667483329773,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,8740,0.017859889194369316,4,0,0.8395,0.0,0.1993667483329773,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,8740,0.017859889194369316,5,0,0.8384,0.0,0.1993667483329773,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.017394747585058212,0,0,0.8337,0.0,0.20877109467983246,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.017394747585058212,1,0,0.8292,0.0,0.20877109467983246,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.017394747585058212,2,0,0.8434,0.0,0.20877109467983246,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.017394747585058212,3,0,0.8315,0.0,0.20877109467983246,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.017394747585058212,4,0,0.839,0.0,0.20877109467983246,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5324,0.017394747585058212,5,0,0.8338,0.0,0.20877109467983246,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.01713879592716694,0,0,0.8327,0.0,0.1949475258588791,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.01713879592716694,1,0,0.8424,0.0,0.1949475258588791,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.01713879592716694,2,0,0.8369,0.0,0.1949475258588791,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.01713879592716694,3,0,0.8381,0.0,0.1949475258588791,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.01713879592716694,4,0,0.8345,0.0,0.1949475258588791,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,4630,0.01713879592716694,5,0,0.8386,0.0,0.1949475258588791,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.017085954546928406,0,0,0.8371,0.0,0.1967780888080597,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.017085954546928406,1,0,0.8386,0.0,0.1967780888080597,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.017085954546928406,2,1,0.8376,0.0,0.1967780888080597,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.017085954546928406,3,0,0.8383,0.0,0.1967780888080597,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.017085954546928406,4,0,0.8307,0.0,0.1967780888080597,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,833,0.017085954546928406,5,0,0.8282,0.0,0.1967780888080597,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.01569207012653351,0,0,0.8327,0.0,0.22423644363880157,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.01569207012653351,1,1,0.8395,0.0,0.22423644363880157,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.01569207012653351,2,0,0.8413,0.0,0.22423644363880157,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2065,0.01569207012653351,3,1,0.841,0.0,0.22423644363880157,0.031372517347335815
