model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.018120048567652702,0,0,0.8433,0.0,0.2254045307636261,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.018120048567652702,1,0,0.8356,0.0,0.2254045307636261,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.018120048567652702,2,1,0.8348,0.0,0.2254045307636261,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.018120048567652702,3,0,0.836,0.0,0.2254045307636261,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.018120048567652702,4,0,0.8422,0.0,0.2254045307636261,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.018120048567652702,5,0,0.8359,0.0,0.2254045307636261,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8740,0.017859889194369316,0,0,0.8431,0.0,0.1903131902217865,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8740,0.017859889194369316,1,1,0.8386,0.0,0.1903131902217865,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8740,0.017859889194369316,2,1,0.8404,0.0,0.1903131902217865,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8740,0.017859889194369316,3,1,0.8411,0.0,0.1903131902217865,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8740,0.017859889194369316,4,1,0.8429,0.0,0.1903131902217865,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8740,0.017859889194369316,5,0,0.833,0.0,0.1903131902217865,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.017394747585058212,0,0,0.8363,0.0,0.19641715288162231,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.017394747585058212,1,1,0.8348,0.0,0.19641715288162231,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.017394747585058212,2,0,0.8313,0.0,0.19641715288162231,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.017394747585058212,3,0,0.837,0.0,0.19641715288162231,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.017394747585058212,4,0,0.8393,0.0,0.19641715288162231,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.017394747585058212,5,0,0.8371,0.0,0.19641715288162231,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.01713879592716694,0,1,0.8393,0.0,0.18541036546230316,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.01713879592716694,1,1,0.8438,0.0,0.18541036546230316,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.01713879592716694,2,0,0.8366,0.0,0.18541036546230316,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.01713879592716694,3,0,0.8467,0.0,0.18541036546230316,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.01713879592716694,4,0,0.8309,0.0,0.18541036546230316,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.01713879592716694,5,1,0.8409,0.0,0.18541036546230316,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.017085954546928406,0,1,0.8352,0.0,0.18631941080093384,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.017085954546928406,1,1,0.8356,0.0,0.18631941080093384,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.017085954546928406,2,0,0.8387,0.0,0.18631941080093384,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.017085954546928406,3,0,0.8383,0.0,0.18631941080093384,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.017085954546928406,4,1,0.8336,0.0,0.18631941080093384,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.017085954546928406,5,1,0.8413,0.0,0.18631941080093384,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.01569207012653351,0,1,0.8361,0.0,0.19933386147022247,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.01569207012653351,1,1,0.8421,0.0,0.19933386147022247,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.01569207012653351,2,0,0.8381,0.0,0.19933386147022247,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.01569207012653351,3,1,0.84,0.0,0.19933386147022247,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.01569207012653351,4,1,0.8362,0.0,0.19933386147022247,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.01569207012653351,5,1,0.8396,0.0,0.19933386147022247,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,7056,0.01566454954445362,0,0,0.8365,0.0,0.2394370287656784,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,7056,0.01566454954445362,1,0,0.8293,0.0,0.2394370287656784,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,7056,0.01566454954445362,2,0,0.8446,0.0,0.2394370287656784,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,7056,0.01566454954445362,3,0,0.8336,0.0,0.2394370287656784,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,7056,0.01566454954445362,4,0,0.8407,0.0,nan,0.031372517347335815
