model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,3728,0.2338474839925766,0,1,0.8575,20.0,0.0027533050160855055,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,3728,0.2338474839925766,1,0,0.856,20.0,0.0027533050160855055,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,3728,0.2338474839925766,2,0,0.8541,20.0,0.0027533050160855055,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,3728,0.2338474839925766,3,0,0.8523,20.0,0.0027533050160855055,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,3728,0.2338474839925766,4,1,0.8627,20.0,0.0027533050160855055,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,5640,0.22931520640850067,0,0,0.8499,20.0,0.0023822954390197992,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,5640,0.22931520640850067,1,0,0.8526,20.0,0.0023822954390197992,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,5640,0.22931520640850067,2,0,0.8394,20.0,0.0023822954390197992,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,5640,0.22931520640850067,3,0,0.8658,20.0,0.0023822954390197992,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,5640,0.22931520640850067,4,0,0.8614,20.0,0.0023822954390197992,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,6922,0.2159987986087799,0,0,0.8579,20.0,0.002579695312306285,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,6922,0.2159987986087799,1,1,0.8664,20.0,0.002579695312306285,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,6922,0.2159987986087799,2,0,0.8509,20.0,0.002579695312306285,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,6922,0.2159987986087799,3,0,0.8482,20.0,0.002579695312306285,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,6922,0.2159987986087799,4,0,0.8294,20.0,0.002579695312306285,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7855,0.21527893841266632,0,0,0.8622,20.0,0.0023085910361260176,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7855,0.21527893841266632,1,0,0.8507,20.0,0.0023085910361260176,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7855,0.21527893841266632,2,0,0.8688,20.0,0.0023085910361260176,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7855,0.21527893841266632,3,1,0.8513,20.0,0.0023085910361260176,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7855,0.21527893841266632,4,1,0.8602,20.0,0.0023085910361260176,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,2127,0.019618269056081772,0,0,0.8642,0.0,0.002298713196069002,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,2127,0.019618269056081772,1,0,0.8393,0.0,0.002298713196069002,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,2127,0.019618269056081772,2,0,0.8532,0.0,0.002298713196069002,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,2127,0.019618269056081772,3,0,0.8546,0.0,0.002298713196069002,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,2127,0.019618269056081772,4,0,0.8582,0.0,0.002298713196069002,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7586,0.21359431743621826,0,1,0.8586,20.0,0.0027601360343396664,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7586,0.21359431743621826,1,0,0.8606,20.0,0.0027601360343396664,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7586,0.21359431743621826,2,0,0.8704,20.0,0.0027601360343396664,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7586,0.21359431743621826,3,0,0.8569,20.0,0.0027601360343396664,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7586,0.21359431743621826,4,0,0.8471,20.0,0.0027601360343396664,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7360,0.21047814190387726,0,1,0.8586,20.0,0.002721968572586775,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7360,0.21047814190387726,1,0,0.8414,20.0,0.002721968572586775,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7360,0.21047814190387726,2,1,0.8513,20.0,0.002721968572586775,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.001,50,0.0313725,7360,0.21047814190387726,3,0,0.8631,20.0,0.002721968572586775,0.031372517347335815
