model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2127,0.02439846470952034,0,0,0.8615,0.0,0.001920158974826336,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2127,0.02439846470952034,1,1,0.8491,0.0,0.001920158974826336,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2127,0.02439846470952034,2,0,0.8501,0.0,0.001920158974826336,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2127,0.02439846470952034,3,1,0.8487,0.0,0.001920158974826336,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2171,0.2546845078468323,0,1,0.8598,25.0,0.0019984941463917494,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2171,0.2546845078468323,1,1,0.8573,25.0,0.0019984941463917494,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2171,0.2546845078468323,2,0,0.8531,25.0,0.0019984941463917494,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2171,0.2546845078468323,3,0,0.8322,25.0,0.0019984941463917494,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2597,0.24962517619132996,0,0,0.8439,25.0,0.0019942596554756165,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2597,0.24962517619132996,1,0,0.8692,25.0,0.0019942596554756165,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2597,0.24962517619132996,2,0,0.8413,25.0,0.0019942596554756165,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,2597,0.24962517619132996,3,1,0.8452,25.0,0.0019942596554756165,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3728,0.292301744222641,0,0,0.8485,25.0,0.002092161448672414,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3728,0.292301744222641,1,1,0.8561,25.0,0.002092161448672414,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3728,0.292301744222641,2,0,0.8441,25.0,0.002092161448672414,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,3728,0.292301744222641,3,1,0.848,25.0,0.002092161448672414,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4462,0.0029257875867187977,0,1,0.8561,0.0,0.0026715414132922888,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4462,0.0029257875867187977,1,1,0.8559,0.0,0.0026715414132922888,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4462,0.0029257875867187977,2,1,0.8444,0.0,0.0026715414132922888,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.002,100,0.0313725,4462,0.0029257875867187977,3,1,0.8542,0.0,0.0026715414132922888,0.031372517347335815
