model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,0,1,0.8494,16.666666666666668,0.0024961300659924746,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,1,1,0.8534,16.666666666666668,0.0024961300659924746,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,2,1,0.8436,16.666666666666668,0.0024961300659924746,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,3,0,0.8512,16.666666666666668,0.0024961300659924746,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,4,0,0.8502,16.666666666666668,0.0024961300659924746,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,5,0,0.8465,16.666666666666668,0.0024961300659924746,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,0,1,0.8379,16.666666666666668,0.0021951613016426563,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,1,0,0.8497,16.666666666666668,0.0021951613016426563,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,2,1,0.8363,16.666666666666668,0.0021951613016426563,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,3,0,0.8492,16.666666666666668,0.0021951613016426563,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,4,0,0.8632,16.666666666666668,0.0021951613016426563,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,5,0,0.852,16.666666666666668,0.0021951613016426563,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,0,0,0.8515,16.666666666666668,0.0025534555315971375,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,1,1,0.8577,16.666666666666668,0.0025534555315971375,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,2,1,0.8455,16.666666666666668,0.0025534555315971375,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,3,1,0.8349,16.666666666666668,0.0025534555315971375,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,4,1,0.8523,16.666666666666668,0.0025534555315971375,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,5,1,0.8472,16.666666666666668,0.0025534555315971375,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,0,1,0.8479,16.666666666666668,0.0022817570716142654,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,1,1,0.8469,16.666666666666668,0.0022817570716142654,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,2,1,0.8564,16.666666666666668,0.0022817570716142654,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,3,1,0.848,16.666666666666668,0.0022817570716142654,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,4,1,0.857,16.666666666666668,0.0022817570716142654,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,5,1,0.8425,16.666666666666668,0.0022817570716142654,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,2127,0.1790531575679779,0,0,0.8548,16.666666666666668,0.002354938071221113,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,2127,0.1790531575679779,1,1,0.8505,16.666666666666668,0.002354938071221113,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,2127,0.1790531575679779,2,1,0.8529,16.666666666666668,0.002354938071221113,0.031372517347335815
