model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,0,0,0.8509,16.666666666666668,0.0024282957892864943,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,1,1,0.8496,16.666666666666668,0.0024282957892864943,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,2,1,0.8417,16.666666666666668,0.0024282957892864943,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,3,1,0.8442,16.666666666666668,0.0024282957892864943,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,4,1,0.8537,16.666666666666668,0.0024282957892864943,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,3728,0.1984233260154724,5,0,0.8369,16.666666666666668,0.0024282957892864943,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,0,0,0.8551,16.666666666666668,0.002145881997421384,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,1,0,0.8499,16.666666666666668,0.002145881997421384,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,2,0,0.8515,16.666666666666668,0.002145881997421384,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,3,0,0.8503,16.666666666666668,0.002145881997421384,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,4,0,0.8588,16.666666666666668,0.002145881997421384,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,5640,0.19558393955230713,5,0,0.8538,16.666666666666668,0.002145881997421384,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,0,1,0.8449,16.666666666666668,0.0024419536348432302,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,1,1,0.8537,16.666666666666668,0.0024419536348432302,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,2,1,0.8511,16.666666666666668,0.0024419536348432302,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,3,1,0.8451,16.666666666666668,0.0024419536348432302,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,4,1,0.8503,16.666666666666668,0.0024419536348432302,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,6922,0.18023960292339325,5,1,0.8506,16.666666666666668,0.0024419536348432302,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,0,1,0.8466,16.666666666666668,0.002222142880782485,0.031372517347335815
VGG13BN,fc,ours,dog-bird,42,0.04,2000,0.0313725,7855,0.17949645221233368,1,1,0.855,16.666666666666668,0.002222142880782485,0.031372517347335815
