model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.01167335081845522,0,0,0.8522,0.0,0.0019643555860966444,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.01167335081845522,1,1,0.8593,0.0,0.0019643555860966444,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.01167335081845522,2,0,0.847,0.0,0.0019643555860966444,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.01167335081845522,3,0,0.8516,0.0,0.0019643555860966444,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.01167335081845522,4,0,0.8561,0.0,0.0019643555860966444,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.010489912703633308,0,0,0.8461,0.0,0.0028162626549601555,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.010489912703633308,1,0,0.8472,0.0,0.0028162626549601555,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.010489912703633308,2,0,0.8569,0.0,0.0028162626549601555,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.010489912703633308,3,0,0.8302,0.0,0.0028162626549601555,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.010489912703633308,4,0,0.8571,0.0,0.0028162626549601555,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.010170216672122478,0,0,0.8521,0.0,0.003878986928611994,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.010170216672122478,1,0,0.8655,0.0,0.003878986928611994,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.010170216672122478,2,0,0.8509,0.0,0.003878986928611994,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.010170216672122478,3,0,0.852,0.0,0.003878986928611994,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.010170216672122478,4,1,0.8358,0.0,0.003878986928611994,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.009307569824159145,0,0,0.8507,0.0,0.003965966869145632,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.009307569824159145,1,0,0.8295,0.0,0.003965966869145632,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.009307569824159145,2,0,0.8554,0.0,0.003965966869145632,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.009307569824159145,3,0,0.8617,0.0,0.003965966869145632,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.009307569824159145,4,0,0.8558,0.0,0.003965966869145632,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.008989272639155388,0,0,0.852,0.0,0.0029067888390272856,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.008989272639155388,1,0,0.8661,0.0,0.0029067888390272856,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.008989272639155388,2,0,0.8462,0.0,0.0029067888390272856,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.008989272639155388,3,0,0.8603,0.0,0.0029067888390272856,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.008989272639155388,4,0,0.8553,0.0,0.0029067888390272856,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.0003700171073433012,0,0,0.8612,0.0,0.0018669577548280358,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.0003700171073433012,1,0,0.8526,0.0,0.0018669577548280358,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.0003700171073433012,2,0,0.8668,0.0,0.0018669577548280358,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.0003700171073433012,3,0,0.8426,0.0,0.0018669577548280358,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.0003700171073433012,4,1,0.8525,0.0,0.0018669577548280358,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.008742820471525192,0,1,0.8596,0.0,0.00245316862128675,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.008742820471525192,1,0,0.847,0.0,0.00245316862128675,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.008742820471525192,2,0,0.8506,0.0,0.00245316862128675,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.008742820471525192,3,0,0.8527,0.0,0.00245316862128675,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.008742820471525192,4,0,0.8627,0.0,0.00245316862128675,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.007813834585249424,0,0,0.8554,0.0,0.00223181932233274,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.007813834585249424,1,0,0.85,0.0,0.00223181932233274,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.007813834585249424,2,0,0.8617,0.0,0.00223181932233274,0.031372517347335815
