model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.009808430448174477,0,0,0.864,0.0,0.001996624981984496,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.009808430448174477,1,0,0.8594,0.0,0.001996624981984496,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.009808430448174477,2,0,0.8561,0.0,0.001996624981984496,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.009808430448174477,3,0,0.8448,0.0,0.001996624981984496,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.009808430448174477,4,0,0.8565,0.0,0.001996624981984496,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,912,0.009808430448174477,5,0,0.8571,0.0,0.001996624981984496,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.00895233266055584,0,0,0.8489,0.0,0.002422450575977564,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.00895233266055584,1,0,0.8446,0.0,0.002422450575977564,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.00895233266055584,2,0,0.8629,0.0,0.002422450575977564,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.00895233266055584,3,0,0.8316,0.0,0.002422450575977564,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.00895233266055584,4,0,0.862,0.0,0.002422450575977564,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,9957,0.00895233266055584,5,0,0.8532,0.0,0.002422450575977564,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.008479340001940727,0,0,0.8523,0.0,0.002794059691950679,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.008479340001940727,1,0,0.8519,0.0,0.002794059691950679,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.008479340001940727,2,0,0.8486,0.0,0.002794059691950679,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.008479340001940727,3,1,0.8509,0.0,0.002794059691950679,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.008479340001940727,4,0,0.8372,0.0,0.002794059691950679,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1739,0.008479340001940727,5,0,0.8612,0.0,0.002794059691950679,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.007756309118121862,0,0,0.8529,0.0,0.0028731583151966333,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.007756309118121862,1,0,0.8253,0.0,0.0028731583151966333,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.007756309118121862,2,0,0.8518,0.0,0.0028731583151966333,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.007756309118121862,3,0,0.8632,0.0,0.0028731583151966333,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.007756309118121862,4,0,0.8486,0.0,0.0028731583151966333,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,1165,0.007756309118121862,5,0,0.8643,0.0,0.0028731583151966333,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.007502300199121237,0,0,0.8549,0.0,0.0022652887273579836,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.007502300199121237,1,0,0.8656,0.0,0.0022652887273579836,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.007502300199121237,2,0,0.837,0.0,0.0022652887273579836,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.007502300199121237,3,0,0.8566,0.0,0.0022652887273579836,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.007502300199121237,4,0,0.8521,0.0,0.0022652887273579836,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,3278,0.007502300199121237,5,0,0.8489,0.0,0.0022652887273579836,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.007500221952795982,0,0,0.8624,0.0,0.0018161371117457747,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.007500221952795982,1,0,0.8536,0.0,0.0018161371117457747,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.007500221952795982,2,0,0.8635,0.0,0.0018161371117457747,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.007500221952795982,3,0,0.8364,0.0,0.0018161371117457747,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.007500221952795982,4,1,0.8571,0.0,0.0018161371117457747,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4313,0.007500221952795982,5,0,0.8598,0.0,0.0018161371117457747,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.007287736516445875,0,0,0.8672,0.0,0.0020254943519830704,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.007287736516445875,1,0,0.846,0.0,0.0020254943519830704,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.007287736516445875,2,0,0.8581,0.0,0.0020254943519830704,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.007287736516445875,3,0,0.8583,0.0,0.0020254943519830704,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.007287736516445875,4,0,0.8562,0.0,0.0020254943519830704,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,416,0.007287736516445875,5,0,0.8602,0.0,0.0020254943519830704,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.006511980667710304,0,0,0.8568,0.0,0.0022421753965318203,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.006511980667710304,1,0,0.8537,0.0,0.0022421753965318203,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.006511980667710304,2,0,0.8588,0.0,0.0022421753965318203,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.006511980667710304,3,0,0.8602,0.0,0.0022421753965318203,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.006511980667710304,4,0,0.855,0.0,0.0022421753965318203,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,6491,0.006511980667710304,5,0,0.8598,0.0,0.0022421753965318203,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,338,0.006197079550474882,0,0,0.8483,0.0,0.0028121797367930412,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,338,0.006197079550474882,1,0,0.8537,0.0,0.0028121797367930412,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,338,0.006197079550474882,2,0,0.85,0.0,0.0028121797367930412,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,338,0.006197079550474882,3,1,0.8558,0.0,0.0028121797367930412,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,338,0.006197079550474882,4,1,0.861,0.0,0.0028121797367930412,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,338,0.006269262637943029,5,0,0.8467,0.0,nan,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4287,0.005305941216647625,0,0,0.8459,0.0,0.0023482691030949354,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4287,0.005305941216647625,1,0,0.8632,0.0,0.0023482691030949354,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4287,0.005305941216647625,2,0,0.8604,0.0,0.0023482691030949354,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4287,0.005305941216647625,3,0,0.8528,0.0,0.0023482691030949354,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4287,0.005305941216647625,4,0,0.8517,0.0,0.0023482691030949354,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.001,50,0.0313725,4287,0.005305941216647625,5,0,0.8596,0.0,0.0023482691030949354,0.031372517347335815
