model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,912,0.009808430448174477,0,0,0.858,0.0,0.0020881786476820707,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,912,0.009808430448174477,1,0,0.8612,0.0,0.0020881786476820707,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,912,0.009808430448174477,2,1,0.8627,0.0,0.0020881786476820707,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,912,0.009808430448174477,3,0,0.8541,0.0,0.0020881786476820707,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,912,0.009808430448174477,4,0,0.8585,0.0,0.0020881786476820707,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,912,0.009808430448174477,5,0,0.8533,0.0,0.0020881786476820707,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,9957,0.00895233266055584,0,0,0.8502,0.0,0.0023990122135728598,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,9957,0.00895233266055584,1,0,0.8476,0.0,0.0023990122135728598,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,9957,0.00895233266055584,2,0,0.8457,0.0,0.0023990122135728598,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,9957,0.00895233266055584,3,0,0.8345,0.0,0.0023990122135728598,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,9957,0.00895233266055584,4,0,0.8624,0.0,0.0023990122135728598,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,9957,0.00895233266055584,5,0,0.8551,0.0,0.0023990122135728598,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1739,0.008479340001940727,0,0,0.8558,0.0,0.003303375793620944,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1739,0.008479340001940727,1,0,0.8561,0.0,0.003303375793620944,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1739,0.008479340001940727,2,0,0.8547,0.0,0.003303375793620944,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1739,0.008479340001940727,3,0,0.8535,0.0,0.003303375793620944,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1739,0.008479340001940727,4,0,0.8427,0.0,0.003303375793620944,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1739,0.008479340001940727,5,0,0.8566,0.0,0.003303375793620944,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1165,0.007756309118121862,0,0,0.8565,0.0,0.003121883375570178,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1165,0.007756309118121862,1,0,0.8332,0.0,0.003121883375570178,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1165,0.007756309118121862,2,0,0.8611,0.0,0.003121883375570178,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1165,0.007756309118121862,3,0,0.8647,0.0,0.003121883375570178,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1165,0.007756309118121862,4,0,0.8519,0.0,0.003121883375570178,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,1165,0.007756309118121862,5,0,0.8621,0.0,0.003121883375570178,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,3278,0.007502300199121237,0,0,0.8563,0.0,0.002419253345578909,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,3278,0.007502300199121237,1,0,0.8607,0.0,0.002419253345578909,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,3278,0.007502300199121237,2,0,0.854,0.0,0.002419253345578909,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,3278,0.007502300199121237,3,0,0.8621,0.0,0.002419253345578909,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,3278,0.007502300199121237,4,0,0.8528,0.0,0.002419253345578909,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,3278,0.007502300199121237,5,0,0.852,0.0,0.002419253345578909,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,4313,0.007500221952795982,0,0,0.8647,0.0,0.0017599863931536674,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,4313,0.007500221952795982,1,0,0.8596,0.0,0.0017599863931536674,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,4313,0.007500221952795982,2,0,0.8581,0.0,0.0017599863931536674,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,4313,0.007500221952795982,3,0,0.8384,0.0,0.0017599863931536674,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,4313,0.007500221952795982,4,0,0.8573,0.0,0.0017599863931536674,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,4313,0.007500221952795982,5,0,0.8608,0.0,0.0017599863931536674,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,416,0.007287736516445875,0,0,0.8633,0.0,0.0021144121419638395,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,416,0.007287736516445875,1,0,0.8561,0.0,0.0021144121419638395,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,416,0.007287736516445875,2,0,0.8539,0.0,0.0021144121419638395,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,416,0.007287736516445875,3,0,0.8526,0.0,0.0021144121419638395,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,416,0.007287736516445875,4,0,0.8559,0.0,0.0021144121419638395,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,416,0.007287736516445875,5,1,0.8621,0.0,0.0021144121419638395,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,6491,0.006511980667710304,0,0,0.8598,0.0,0.002282286062836647,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,6491,0.006511980667710304,1,0,0.8575,0.0,0.002282286062836647,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,6491,0.006511980667710304,2,0,0.8636,0.0,0.002282286062836647,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,6491,0.006511980667710304,3,0,0.8608,0.0,0.002282286062836647,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,6491,0.006511980667710304,4,0,0.8532,0.0,0.002282286062836647,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,6491,0.006511980667710304,5,0,0.8544,0.0,0.002282286062836647,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,338,0.006197079550474882,0,0,0.8442,0.0,0.0027258330956101418,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,338,0.006197079550474882,1,0,0.8564,0.0,0.0027258330956101418,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,338,0.006197079550474882,2,0,0.8474,0.0,0.0027258330956101418,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,338,0.006197079550474882,3,0,0.8566,0.0,0.0027258330956101418,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,338,0.006197079550474882,4,0,0.8533,0.0,0.0027258330956101418,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,338,0.006197079550474882,5,0,0.8463,0.0,0.0027258330956101418,0.031372517347335815
VGG13BN,fc,ours,frog-airplane,42,0.002,100,0.0313725,4287,0.005284157581627369,0,0,0.8578,0.0,0.0022768417838960886,0.031372517347335815
