model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,630,2.054161768683116e-06,0,1,0.8618,0.0,0.305087149143219,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,630,2.054161768683116e-06,1,0,0.831,0.0,0.305087149143219,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,630,2.054161768683116e-06,2,1,0.8532,0.0,0.305087149143219,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,630,2.054161768683116e-06,3,0,0.8602,0.0,0.305087149143219,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,630,2.054161768683116e-06,4,1,0.8537,0.0,0.305087149143219,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,409,1.9818285181827378e-06,0,1,0.8516,0.0,0.2736083745956421,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,409,1.9818285181827378e-06,1,1,0.8529,0.0,0.2736083745956421,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,409,1.9818285181827378e-06,2,0,0.8544,0.0,0.2736083745956421,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,409,1.9818285181827378e-06,3,0,0.8499,0.0,0.2736083745956421,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,409,1.9818285181827378e-06,4,1,0.8671,0.0,0.2736083745956421,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2270,4.824951815862732e-07,0,1,0.8547,0.0,0.2913085460662842,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2270,4.824951815862732e-07,1,1,0.8529,0.0,0.2913085460662842,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2270,4.824951815862732e-07,2,1,0.8526,0.0,0.2913085460662842,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2270,4.824951815862732e-07,3,1,0.861,0.0,0.2913085460662842,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,2270,4.824951815862732e-07,4,1,0.851,0.0,0.2913085460662842,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9870,4.764501397858112e-07,0,1,0.8524,0.0,0.2681098461151123,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9870,4.764501397858112e-07,1,1,0.8444,0.0,0.2681098461151123,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9870,4.764501397858112e-07,2,1,0.8488,0.0,0.2681098461151123,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9870,4.764501397858112e-07,3,0,0.8447,0.0,0.2681098461151123,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9870,4.764501397858112e-07,4,1,0.8614,0.0,0.2681098461151123,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1656,1.8671626094146632e-06,0,1,0.8558,0.0,0.281591522693634,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1656,1.8671626094146632e-06,1,1,0.8468,0.0,0.281591522693634,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1656,1.8671626094146632e-06,2,1,0.8559,0.0,0.281591522693634,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1656,1.8671626094146632e-06,3,1,0.8678,0.0,0.281591522693634,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1656,1.8671626094146632e-06,4,1,0.8491,0.0,0.281591522693634,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5022,1.8320191657039686e-06,0,1,0.859,0.0,0.29906357526779176,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5022,1.8320191657039686e-06,1,0,0.8543,0.0,0.29906357526779176,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5022,1.8320191657039686e-06,2,1,0.8538,0.0,0.29906357526779176,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5022,1.8320191657039686e-06,3,1,0.8479,0.0,0.29906357526779176,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,5022,1.8320191657039686e-06,4,1,0.858,0.0,0.29906357526779176,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,9090,1.821127511902887e-06,0,1,0.8579,0.0,0.2703923940658569,0.031372517347335815
