model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2783,6.941690662642941e-05,0,1,0.8447,0.0,0.25003981590270996,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2783,6.941690662642941e-05,1,1,0.8591,0.0,0.25003981590270996,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2783,6.941690662642941e-05,2,0,0.8585,0.0,0.25003981590270996,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2783,6.941690662642941e-05,3,1,0.8318,0.0,0.25003981590270996,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2783,6.941690662642941e-05,4,0,0.8492,0.0,0.25003981590270996,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2783,6.941690662642941e-05,5,1,0.8498,0.0,0.25003981590270996,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2507,6.642824155278504e-05,0,0,0.8543,0.0,0.32773169279098513,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2507,6.642824155278504e-05,1,1,0.8471,0.0,0.32773169279098513,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2507,6.642824155278504e-05,2,1,0.8499,0.0,0.32773169279098513,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2507,6.642824155278504e-05,3,0,0.8569,0.0,0.32773169279098513,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2507,6.642824155278504e-05,4,0,0.8581,0.0,0.32773169279098513,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,2507,6.642824155278504e-05,5,1,0.8707,0.0,0.32773169279098513,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,6738,5.809226058772765e-05,0,0,0.8479,0.0,0.3946413159370422,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,6738,5.809226058772765e-05,1,0,0.8445,0.0,0.3946413159370422,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,6738,5.809226058772765e-05,2,1,0.8607,0.0,0.3946413159370422,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,6738,5.809226058772765e-05,3,0,0.8539,0.0,0.3946413159370422,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,6738,5.809226058772765e-05,4,0,0.8596,0.0,0.3946413159370422,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,6738,5.809226058772765e-05,5,0,0.8624,0.0,0.3946413159370422,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,5787,5.791999137727544e-05,0,0,0.8583,0.0,0.3355738162994385,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,5787,5.791999137727544e-05,1,0,0.8489,0.0,0.3355738162994385,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,5787,5.791999137727544e-05,2,0,0.8583,0.0,0.3355738162994385,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,5787,5.791999137727544e-05,3,0,0.8552,0.0,0.3355738162994385,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,5787,5.791999137727544e-05,4,0,0.8602,0.0,0.3355738162994385,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,5787,5.791999137727544e-05,5,0,0.8441,0.0,0.3355738162994385,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,7815,5.7806275435723364e-05,0,1,0.8434,0.0,0.21237291097640992,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.002,100,0.0313725,7815,5.7806275435723364e-05,1,1,0.8647,0.0,0.21237291097640992,0.031372517347335815
