model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,0,1,0.842,0.0,0.22695223093032837,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,1,1,0.8641,0.0,0.22695223093032837,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,2,1,0.8603,0.0,0.22695223093032837,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,3,1,0.8451,0.0,0.22695223093032837,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,4,1,0.8449,0.0,0.22695223093032837,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,5,1,0.8577,0.0,0.22695223093032837,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,0,1,0.852,0.0,0.28169353008270265,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,1,1,0.8307,0.0,0.28169353008270265,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,2,1,0.8452,0.0,0.28169353008270265,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,3,1,0.8529,0.0,0.28169353008270265,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,4,1,0.8644,0.0,0.28169353008270265,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,5,1,0.8558,0.0,0.28169353008270265,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,0,0,0.8538,0.0,0.41974295377731324,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,1,0,0.8248,0.0,0.41974295377731324,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,2,0,0.854,0.0,0.41974295377731324,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,3,0,0.8572,0.0,0.41974295377731324,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,4,0,0.851,0.0,0.41974295377731324,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,5,1,0.8604,0.0,0.41974295377731324,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,0,1,0.8419,0.0,0.2917871356010437,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,1,1,0.8547,0.0,0.2917871356010437,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,2,1,0.8558,0.0,0.2917871356010437,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,3,0,0.8506,0.0,0.2917871356010437,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,4,1,0.8555,0.0,0.2917871356010437,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,5,1,0.839,0.0,0.2917871356010437,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7815,5.7806275435723364e-05,0,1,0.8482,0.0,0.18322415351867677,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7815,5.7806275435723364e-05,1,1,0.8617,0.0,0.18322415351867677,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7815,5.7806275435723364e-05,2,1,0.8544,0.0,0.18322415351867677,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7815,5.7806275435723364e-05,3,1,0.8473,0.0,0.18322415351867677,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7815,5.7806275435723364e-05,4,1,0.8544,0.0,0.18322415351867677,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7815,5.7806275435723364e-05,5,1,0.8633,0.0,0.18322415351867677,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5074,5.718666943721473e-05,0,1,0.8458,0.0,0.23910409212112427,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5074,5.718666943721473e-05,1,1,0.8529,0.0,0.23910409212112427,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5074,5.718666943721473e-05,2,1,0.8482,0.0,0.23910409212112427,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5074,5.718666943721473e-05,3,1,0.8632,0.0,0.23910409212112427,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5074,5.718666943721473e-05,4,1,0.8593,0.0,0.23910409212112427,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,5074,5.718666943721473e-05,5,1,0.8494,0.0,0.23910409212112427,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7356,5.4952408390818164e-05,0,1,0.8635,0.0,0.2492477774620056,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7356,5.4952408390818164e-05,1,1,0.8509,0.0,0.2492477774620056,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7356,5.4952408390818164e-05,2,1,0.8398,0.0,0.2492477774620056,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7356,5.4952408390818164e-05,3,1,0.8594,0.0,0.2492477774620056,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7356,5.4952408390818164e-05,4,1,0.8299,0.0,0.2492477774620056,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,7356,5.4952408390818164e-05,5,1,0.8527,0.0,0.2492477774620056,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,8267,5.383782263379544e-05,0,1,0.8212,0.0,0.2715914845466614,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,8267,5.383782263379544e-05,1,1,0.8615,0.0,0.2715914845466614,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,8267,5.383782263379544e-05,2,1,0.8481,0.0,0.2715914845466614,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,8267,5.383782263379544e-05,3,1,0.8497,0.0,0.2715914845466614,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,8267,5.383782263379544e-05,4,1,0.8498,0.0,0.2715914845466614,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.02,1000,0.0313725,8267,5.383782263379544e-05,5,1,0.8554,0.0,0.2715914845466614,0.031372517347335815
