model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,0,1,0.8344,0.0,0.22796086072921753,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,1,1,0.8569,0.0,0.22796086072921753,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,2,1,0.8547,0.0,0.22796086072921753,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,3,1,0.8442,0.0,0.22796086072921753,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,4,1,0.8519,0.0,0.22796086072921753,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,5,1,0.8423,0.0,0.22796086072921753,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,0,1,0.8475,0.0,0.2937026143074036,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,1,1,0.8367,0.0,0.2937026143074036,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,2,1,0.8488,0.0,0.2937026143074036,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,3,1,0.8496,0.0,0.2937026143074036,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,4,1,0.8486,0.0,0.2937026143074036,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,5,1,0.8535,0.0,0.2937026143074036,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,0,0,0.8503,0.0,0.3995598077774048,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,1,0,0.8406,0.0,0.3995598077774048,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,2,0,0.8535,0.0,0.3995598077774048,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,3,0,0.8459,0.0,0.3995598077774048,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,4,0,0.852,0.0,0.3995598077774048,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,5,0,0.8414,0.0,0.3995598077774048,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,0,1,0.8537,0.0,0.29608333110809326,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,1,1,0.8418,0.0,0.29608333110809326,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,2,1,0.8498,0.0,0.29608333110809326,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,3,1,0.8522,0.0,0.29608333110809326,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,4,1,0.8422,0.0,0.29608333110809326,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,5,1,0.8374,0.0,0.29608333110809326,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,0,1,0.8421,0.0,0.18305082321166993,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,1,1,0.8539,0.0,0.18305082321166993,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,2,1,0.8397,0.0,0.18305082321166993,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,3,1,0.8501,0.0,0.18305082321166993,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,4,1,0.8483,0.0,0.18305082321166993,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,5,1,0.8511,0.0,0.18305082321166993,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5074,5.718666943721473e-05,0,1,0.8433,0.0,0.24361319541931153,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5074,5.718666943721473e-05,1,1,0.8447,0.0,0.24361319541931153,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5074,5.718666943721473e-05,2,1,0.8459,0.0,0.24361319541931153,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5074,5.718666943721473e-05,3,1,0.8552,0.0,0.24361319541931153,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5074,5.718666943721473e-05,4,1,0.8598,0.0,0.24361319541931153,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,5074,5.718666943721473e-05,5,1,0.852,0.0,0.24361319541931153,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7356,5.4952408390818164e-05,0,1,0.8459,0.0,0.24462121725082397,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7356,5.4952408390818164e-05,1,1,0.8398,0.0,0.24462121725082397,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7356,5.4952408390818164e-05,2,1,0.8479,0.0,0.24462121725082397,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7356,5.4952408390818164e-05,3,1,0.8485,0.0,0.24462121725082397,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7356,5.4952408390818164e-05,4,1,0.8463,0.0,0.24462121725082397,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,7356,5.4952408390818164e-05,5,1,0.849,0.0,0.24462121725082397,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,8267,5.383782263379544e-05,0,1,0.8298,0.0,0.27113627195358275,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,8267,5.383782263379544e-05,1,1,0.8506,0.0,0.27113627195358275,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,8267,5.383782263379544e-05,2,1,0.8392,0.0,0.27113627195358275,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,8267,5.383782263379544e-05,3,1,0.8486,0.0,0.27113627195358275,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,8267,5.383782263379544e-05,4,1,0.8509,0.0,0.27113627195358275,0.031372517347335815
VGG13BN,gradmatch,ours,frog-airplane,42,0.04,2000,0.0313725,8267,5.383782263379544e-05,5,1,0.8401,0.0,0.27113627195358275,0.031372517347335815
