model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,0,0,0.858,0.0,0.27894068956375123,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,1,0,0.8595,0.0,0.27894068956375123,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,2,1,0.8579,0.0,0.27894068956375123,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,3,0,0.8499,0.0,0.27894068956375123,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,0,0,0.8614,0.0,0.3455335974693298,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,1,0,0.8391,0.0,0.3455335974693298,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,2,0,0.8598,0.0,0.3455335974693298,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,3,0,0.8584,0.0,0.3455335974693298,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,0,0,0.856,0.0,0.3107194185256958,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,1,0,0.8484,0.0,0.3107194185256958,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,2,0,0.8551,0.0,0.3107194185256958,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,3,0,0.8666,0.0,0.3107194185256958,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,0,0,0.8606,0.0,0.3130838394165039,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,1,0,0.8564,0.0,0.3130838394165039,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,2,0,0.8453,0.0,0.3130838394165039,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,3,0,0.8615,0.0,0.3130838394165039,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,0,0,0.8589,0.0,0.37837413549423216,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,1,0,0.8512,0.0,0.37837413549423216,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,2,0,0.8518,0.0,0.37837413549423216,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,3,0,0.8499,0.0,0.37837413549423216,0.031372517347335815
