model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,409,2.4757262053753948e-06,0,1,0.8514,0.0,0.2625486135482788,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,409,2.4757262053753948e-06,1,1,0.8531,0.0,0.2625486135482788,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,409,2.4757262053753948e-06,2,1,0.8515,0.0,0.2625486135482788,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,409,2.4757262053753948e-06,3,1,0.8604,0.0,0.2625486135482788,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,630,1.1267110266999225e-06,0,0,0.8515,0.0,0.32192126512527464,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,630,1.1267110266999225e-06,1,0,0.8323,0.0,0.32192126512527464,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,630,1.1267110266999225e-06,2,1,0.8538,0.0,0.32192126512527464,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,630,1.1267110266999225e-06,3,0,0.8571,0.0,0.32192126512527464,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1656,2.237414264527615e-06,0,1,0.851,0.0,0.2727473497390747,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1656,2.237414264527615e-06,1,1,0.8485,0.0,0.2727473497390747,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1656,2.237414264527615e-06,2,1,0.8594,0.0,0.2727473497390747,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,1656,2.237414264527615e-06,3,0,0.8647,0.0,0.2727473497390747,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2270,5.932463409408228e-07,0,1,0.8575,0.0,0.2816437602043152,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2270,5.932463409408228e-07,1,0,0.8594,0.0,0.2816437602043152,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2270,5.932463409408228e-07,2,1,0.8503,0.0,0.2816437602043152,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,2270,5.932463409408228e-07,3,0,0.8534,0.0,0.2816437602043152,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5022,2.285556774950237e-06,0,0,0.8679,0.0,0.32657818794250487,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5022,2.285556774950237e-06,1,0,0.8568,0.0,0.32657818794250487,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5022,2.285556774950237e-06,2,1,0.8516,0.0,0.32657818794250487,0.031372517347335815
VGG13BN,gradmatch,random,dog-bird,42,0.005,250,0.0313725,5022,2.285556774950237e-06,3,0,0.8488,0.0,0.32657818794250487,0.031372517347335815
