model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,3601,9.963609045371413e-06,0,0,0.8598,0.0,0.383376806974411,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,3601,9.963609045371413e-06,1,0,0.8539,0.0,0.383376806974411,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,3601,9.963609045371413e-06,2,0,0.8506,0.0,0.383376806974411,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,3601,9.963609045371413e-06,3,1,0.8567,0.0,0.383376806974411,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,3601,9.963609045371413e-06,4,0,0.8563,0.0,0.383376806974411,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,3601,9.963609045371413e-06,5,0,0.8467,0.0,0.383376806974411,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,7165,9.907818821375258e-06,0,0,0.8411,0.0,0.3961617648601532,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,7165,9.907818821375258e-06,1,0,0.8625,0.0,0.3961617648601532,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,7165,9.907818821375258e-06,2,0,0.8517,0.0,0.3961617648601532,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,7165,9.907818821375258e-06,3,0,0.8537,0.0,0.3961617648601532,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,7165,9.907818821375258e-06,4,0,0.8637,0.0,0.3961617648601532,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,7165,9.907818821375258e-06,5,0,0.8642,0.0,0.3961617648601532,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,281,9.665772267908324e-06,0,0,0.8559,0.0,0.3513161540031433,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,281,9.665772267908324e-06,1,0,0.8497,0.0,0.3513161540031433,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,281,9.665772267908324e-06,2,0,0.8556,0.0,0.3513161540031433,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,281,9.665772267908324e-06,3,0,0.856,0.0,0.3513161540031433,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,281,9.665772267908324e-06,4,0,0.8588,0.0,0.3513161540031433,0.031372517347335815
VGG13BN,gradmatch,random,frog-airplane,42,0.001,50,0.0313725,281,9.665772267908324e-06,5,0,0.8558,0.0,0.3513161540031433,0.031372517347335815
