model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,630,2.054161768683116e-06,0,0,0.8619,0.0,0.3172683954238892,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,630,2.054161768683116e-06,1,0,0.8521,0.0,0.3172683954238892,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,630,2.054161768683116e-06,2,0,0.8583,0.0,0.3172683954238892,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,630,2.054161768683116e-06,3,0,0.8582,0.0,0.3172683954238892,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,630,2.054161768683116e-06,4,0,0.8466,0.0,0.3172683954238892,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,409,1.9818285181827378e-06,0,0,0.8492,0.0,0.28211749792099,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,409,1.9818285181827378e-06,1,1,0.8577,0.0,0.28211749792099,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,409,1.9818285181827378e-06,2,0,0.8557,0.0,0.28211749792099,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,409,1.9818285181827378e-06,3,0,0.8482,0.0,0.28211749792099,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,409,1.9818285181827378e-06,4,0,0.8539,0.0,0.28211749792099,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,2270,4.824951815862732e-07,0,1,0.8638,0.0,0.29042987823486327,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,2270,4.824951815862732e-07,1,0,0.8537,0.0,0.29042987823486327,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.001,50,0.0313725,2270,4.824951815862732e-07,2,1,0.8484,0.0,0.29042987823486327,0.031372517347335815
