model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,630,2.054161768683116e-06,0,1,0.8554,0.0,0.3024847745895386,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,630,2.054161768683116e-06,1,0,0.8563,0.0,0.3024847745895386,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,630,2.054161768683116e-06,2,1,0.8518,0.0,0.3024847745895386,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,630,2.054161768683116e-06,3,1,0.8573,0.0,0.3024847745895386,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,630,2.054161768683116e-06,4,1,0.8569,0.0,0.3024847745895386,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,409,1.9818285181827378e-06,0,1,0.8523,0.0,0.2537432432174683,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,409,1.9818285181827378e-06,1,1,0.8448,0.0,0.2537432432174683,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,409,1.9818285181827378e-06,2,1,0.8532,0.0,0.2537432432174683,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,409,1.9818285181827378e-06,3,1,0.8548,0.0,0.2537432432174683,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,409,1.9818285181827378e-06,4,1,0.861,0.0,0.2537432432174683,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,2270,4.824951815862732e-07,0,1,0.8539,0.0,0.2705742597579956,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,2270,4.824951815862732e-07,1,1,0.8507,0.0,0.2705742597579956,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,2270,4.824951815862732e-07,2,1,0.842,0.0,0.2705742597579956,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,2270,4.824951815862732e-07,3,1,0.861,0.0,0.2705742597579956,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,2270,4.824951815862732e-07,4,1,0.8449,0.0,0.2705742597579956,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,9870,4.764501397858112e-07,0,1,0.8583,0.0,0.24715560674667358,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,9870,4.764501397858112e-07,1,1,0.8508,0.0,0.24715560674667358,0.031372517347335815
