model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,0,1,0.8627,0.0,0.27521322965621947,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,1,1,0.8399,0.0,0.27521322965621947,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,2,1,0.8537,0.0,0.27521322965621947,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,3,1,0.8481,0.0,0.27521322965621947,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,4,1,0.8521,0.0,0.27521322965621947,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,5,1,0.8529,0.0,0.27521322965621947,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,0,1,0.8479,0.0,0.25186910629272463,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,1,1,0.8508,0.0,0.25186910629272463,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,2,1,0.8534,0.0,0.25186910629272463,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,3,1,0.8525,0.0,0.25186910629272463,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,4,1,0.8647,0.0,0.25186910629272463,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,5,1,0.8355,0.0,0.25186910629272463,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,0,1,0.8672,0.0,0.2622002959251404,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,1,1,0.8533,0.0,0.2622002959251404,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,2,1,0.8444,0.0,0.2622002959251404,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,3,1,0.8523,0.0,0.2622002959251404,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,4,1,0.849,0.0,0.2622002959251404,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,5,1,0.8597,0.0,0.2622002959251404,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,9870,4.764501397858112e-07,0,1,0.855,0.0,0.2483675241470337,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,9870,4.764501397858112e-07,1,1,0.845,0.0,0.2483675241470337,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,9870,4.764501397858112e-07,2,1,0.8487,0.0,0.2483675241470337,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,9870,4.764501397858112e-07,3,1,0.8598,0.0,0.2483675241470337,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,9870,4.764501397858112e-07,4,1,0.8493,0.0,0.2483675241470337,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,1656,1.8671626094146632e-06,0,1,0.8508,0.0,0.25696600675582887,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,1656,1.8671626094146632e-06,1,1,0.8517,0.0,0.25696600675582887,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,1656,1.8671626094146632e-06,2,1,0.8446,0.0,0.25696600675582887,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,1656,1.8671626094146632e-06,3,1,0.8656,0.0,0.25696600675582887,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,1656,1.8671626094146632e-06,4,1,0.8519,0.0,0.25696600675582887,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,5022,1.8320191657039686e-06,0,1,0.8651,0.0,0.24677550792694092,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,5022,1.8320191657039686e-06,1,1,0.8443,0.0,0.24677550792694092,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,5022,1.8320191657039686e-06,2,1,0.8516,0.0,0.24677550792694092,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,5022,1.8320191657039686e-06,3,1,0.8518,0.0,0.24677550792694092,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.01,500,0.0313725,5022,1.8320191657039686e-06,4,1,0.855,0.0,0.24677550792694092,0.031372517347335815
