model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2783,8.330021955771372e-05,0,1,0.8438,0.0,0.2537145853042603,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2783,8.330021955771372e-05,1,1,0.8602,0.0,0.2537145853042603,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2783,8.330021955771372e-05,2,0,0.8638,0.0,0.2537145853042603,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2783,8.330021955771372e-05,3,0,0.8426,0.0,0.2537145853042603,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2783,8.330021955771372e-05,4,0,0.8412,0.0,0.2537145853042603,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2507,7.970316801220179e-05,0,0,0.856,0.0,0.3011982798576355,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2507,7.970316801220179e-05,1,1,0.8424,0.0,0.3011982798576355,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2507,7.970316801220179e-05,2,1,0.8454,0.0,0.3011982798576355,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2507,7.970316801220179e-05,3,1,0.8474,0.0,0.3011982798576355,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,2507,7.970316801220179e-05,4,0,0.8586,0.0,0.3011982798576355,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,6738,6.970191316213459e-05,0,0,0.8477,0.0,0.39700846672058104,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,6738,6.970191316213459e-05,1,0,0.8499,0.0,0.39700846672058104,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,6738,6.970191316213459e-05,2,0,0.8635,0.0,0.39700846672058104,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,6738,6.970191316213459e-05,3,0,0.8497,0.0,0.39700846672058104,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,6738,6.970191316213459e-05,4,0,0.8572,0.0,0.39700846672058104,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,5787,4.4993339542998e-05,0,0,0.8422,0.0,0.3523446559906006,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,5787,4.4993339542998e-05,1,0,0.8508,0.0,0.3523446559906006,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,5787,4.4993339542998e-05,2,0,0.8518,0.0,0.3523446559906006,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,5787,4.4993339542998e-05,3,0,0.8627,0.0,0.3523446559906006,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,5787,4.4993339542998e-05,4,0,0.8609,0.0,0.3523446559906006,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,7815,6.582709465874359e-05,0,1,0.8407,0.0,0.22263282537460327,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,7815,6.582709465874359e-05,1,1,0.8602,0.0,0.22263282537460327,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,7815,6.582709465874359e-05,2,0,0.8608,0.0,0.22263282537460327,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.002,100,0.0313725,7815,6.582709465874359e-05,3,0,0.8509,0.0,0.22263282537460327,0.031372517347335815
